item_id	item_name	category	add_list_path	sources_found	bucket	verdict	note
31990	Black Evan Hair (F)	Hair	Character.wz/Hair/00031990.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
31991	Red Evan Hair (F)	Hair	Character.wz/Hair/00031991.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
31992	Orange Evan Hair (F)	Hair	Character.wz/Hair/00031992.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
31993	Blond Evan Hair (F)	Hair	Character.wz/Hair/00031993.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
31994	Silver Evan Hair (F)	Hair	Character.wz/Hair/00031994.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
31995	Blue Evan Hair (F)	Hair	Character.wz/Hair/00031995.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
31996	Purple Evan Hair (F)	Hair	Character.wz/Hair/00031996.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
31997	Brown Evan Hair (F)	Hair	Character.wz/Hair/00031997.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33030	Black Babish Hair	Hair	Character.wz/Hair/00033030.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33031	Red Babish Hair	Hair	Character.wz/Hair/00033031.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33032	Orange Babish Hair	Hair	Character.wz/Hair/00033032.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33033	Blonde Babish Hair	Hair	Character.wz/Hair/00033033.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33034	Green Babish Hair	Hair	Character.wz/Hair/00033034.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33035	Blue Babish Hair	Hair	Character.wz/Hair/00033035.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33036	Purple Babish Hair	Hair	Character.wz/Hair/00033036.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33037	Brown Babish Hair	Hair	Character.wz/Hair/00033037.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33050	Black Spiky Shag	Hair	Character.wz/Hair/00033050.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33051	Red Spiky Shag	Hair	Character.wz/Hair/00033051.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33052	Orange Spiky Shag	Hair	Character.wz/Hair/00033052.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33053	Blonde Spiky Shag	Hair	Character.wz/Hair/00033053.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33054	Green Spiky Shag	Hair	Character.wz/Hair/00033054.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33055	Blue Spiky Shag	Hair	Character.wz/Hair/00033055.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33056	Purple Spiky Shag	Hair	Character.wz/Hair/00033056.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33057	Brown Spiky Shag	Hair	Character.wz/Hair/00033057.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33150	Black Evan Hair (M)	Hair	Character.wz/Hair/00033150.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
33151	Red Evan Hair (M)	Hair	Character.wz/Hair/00033151.img		cosmetic_hair_face	COSMETIC_NOT_APPLICABLE	beauty-shop content: applied by an NPC from Character.wz, never an item
