quest_id	quest_name	lvmin	item	droppers	seed_changesets	quest_map_tokens	dropper_on_quest_map	dropper_levels	heuristic_verdict	flags	reviewed_verdict	evidence
3758	Towards the Sky 1		4000240	8140002,9500163	upstream	-	no	8140002=83,9500163=83	UPSTREAM_ONLY	NAME_LINK:Blood Harp~Small Flaming Feather		
3760	Dragonica's Horn		4001401	8300006	160	-	no	8300006=120	EXPIRED_QUEST	NAME_LINK:Dragonica~Dragonica&apos;s Horn 		
10520	Teo's Nostalgic Reminiscing I		4000004	210100,9300341	upstream	-	no	210100=6,9300341=6	UPSTREAM_ONLY			
10520	Teo's Nostalgic Reminiscing I		4000016	130101,2220000,9303000,9500306	upstream	-	no	130101=4,2220000=20,9303000=10,9500306=20	UPSTREAM_ONLY	NAME_LINK:Red Snail~Red Snail Shell		
10521	Teo's Nostalgic Reminiscing II		4000020	2230102,2230112	upstream	-	no	2230102=25,2230112=25	UPSTREAM_ONLY	NAME_LINK:Wild Boar~Wild Boar Tooth		
10521	Teo's Nostalgic Reminiscing II		4000024	3210100	upstream	-	no	3210100=32	UPSTREAM_ONLY	NAME_LINK:Fire Boar~Fire Boar&apos;s Tooth		
22004	Fixing the Fence	5	4032498	130100	155	-	no	130100=4	NO_MAP_TOKEN_UNCHECKABLE	NAME_LINK:Stump~Thick Branch	CLEARED	text: "Defeat some of the #r#o0130100#s#k NEARBY". The quest is given at the Evan farm and Stump 130100 spawns on 100030300, a farm map. The item desc independently reads "A tree branch from a Stump". Level 5 quest, level 4 mob.
22404	Making a Saddle	50	4000155	4230124	upstream	230000000	neighbour	4230124=42	UPSTREAM_ONLY	NAME_LINK:Freezer~Seal Skin		
22404	Making a Saddle	50	4032474	4220000,9303014	upstream	230000000	no	4220000=45,9303014=81	UPSTREAM_ONLY	LEVEL_GAP-31;NAME_LINK:Seruf~Seruf Pearl		
22405	The Lost Saddle	50	4000155	4230124	upstream	230000000,230000003	neighbour	4230124=42	UPSTREAM_ONLY	NAME_LINK:Freezer~Seal Skin		
22405	The Lost Saddle	50	4032474	4220000,9303014	upstream	230000000,230000003	no	4220000=45,9303014=81	UPSTREAM_ONLY	LEVEL_GAP-31;NAME_LINK:Seruf~Seruf Pearl		
