quest_id	quest_name	lvmin	end_date	category	ids	priority	status	analogue_row	note
3758	Towards the Sky 1		2000010100	MISSING_ITEM_SOURCE	item 4001402	P2	DO_NOT_FIX		quest is behind an expired end date 2000010100 | no source at all
3761	Tears of Repentance		2000010100	NPC_NOT_PLACED	npc 2085003	P2	DO_NOT_FIX		quest is behind an expired end date 2000010100 | phase 0
10487	2009 루돌프의 훈장	13	200912280000	NPC_NOT_PLACED	npc 2001006	P2	DO_NOT_FIX		quest is behind an expired end date 200912280000 | phase 0
10487	2009 루돌프의 훈장	13	200912280000	QUEST_RECORD_NO_WRITER	record 10487	P2	DO_NOT_FIX		quest is behind an expired end date 200912280000
10490	카산드라의 심술	13	200912280000	MISSING_ITEM_SOURCE	item 3994184	P2	DO_NOT_FIX		quest is behind an expired end date 200912280000 | no source at all
10490	카산드라의 심술	13	200912280000	QUEST_RECORD_NO_WRITER	record 10490	P2	DO_NOT_FIX		quest is behind an expired end date 200912280000
10491	가가 골탕 먹이기			MISSING_ITEM_SOURCE	item 3994185	P2	DO_NOT_FIX		Korean-titled 2009 winter-event quest in the 1049x block. Its own start block carries no end date, but the block it belongs to does - 10487/10490/10496 all end 200912280000 - and 10491-10494 all demand the same item 3994185 that expired 10497 demands. Event content v84 shipped switched off; do not build it. | no source at all
10491	가가 골탕 먹이기			QUEST_RECORD_NO_WRITER	record 10491	P2	DO_NOT_FIX		Korean-titled 2009 winter-event quest in the 1049x block. Its own start block carries no end date, but the block it belongs to does - 10487/10490/10496 all end 200912280000 - and 10491-10494 all demand the same item 3994185 that expired 10497 demands. Event content v84 shipped switched off; do not build it.
10492	메이플운영자 골탕먹이기			MISSING_ITEM_SOURCE	item 3994185	P2	DO_NOT_FIX		Korean-titled 2009 winter-event quest in the 1049x block. Its own start block carries no end date, but the block it belongs to does - 10487/10490/10496 all end 200912280000 - and 10491-10494 all demand the same item 3994185 that expired 10497 demands. Event content v84 shipped switched off; do not build it. | no source at all
10492	메이플운영자 골탕먹이기			QUEST_RECORD_NO_WRITER	record 10492	P2	DO_NOT_FIX		Korean-titled 2009 winter-event quest in the 1049x block. Its own start block carries no end date, but the block it belongs to does - 10487/10490/10496 all end 200912280000 - and 10491-10494 all demand the same item 3994185 that expired 10497 demands. Event content v84 shipped switched off; do not build it.
10493	클리프 골탕먹이기			MISSING_ITEM_SOURCE	item 3994185	P2	DO_NOT_FIX		Korean-titled 2009 winter-event quest in the 1049x block. Its own start block carries no end date, but the block it belongs to does - 10487/10490/10496 all end 200912280000 - and 10491-10494 all demand the same item 3994185 that expired 10497 demands. Event content v84 shipped switched off; do not build it. | no source at all
10493	클리프 골탕먹이기			QUEST_RECORD_NO_WRITER	record 10493	P2	DO_NOT_FIX		Korean-titled 2009 winter-event quest in the 1049x block. Its own start block carries no end date, but the block it belongs to does - 10487/10490/10496 all end 200912280000 - and 10491-10494 all demand the same item 3994185 that expired 10497 demands. Event content v84 shipped switched off; do not build it.
10494	토르 골탕먹이기			MISSING_ITEM_SOURCE	item 3994185	P2	DO_NOT_FIX		Korean-titled 2009 winter-event quest in the 1049x block. Its own start block carries no end date, but the block it belongs to does - 10487/10490/10496 all end 200912280000 - and 10491-10494 all demand the same item 3994185 that expired 10497 demands. Event content v84 shipped switched off; do not build it. | no source at all
10494	토르 골탕먹이기			QUEST_RECORD_NO_WRITER	record 10494	P2	DO_NOT_FIX		Korean-titled 2009 winter-event quest in the 1049x block. Its own start block carries no end date, but the block it belongs to does - 10487/10490/10496 all end 200912280000 - and 10491-10494 all demand the same item 3994185 that expired 10497 demands. Event content v84 shipped switched off; do not build it.
10496	가가의 월동준비	13	200912280000	MISSING_ITEM_SOURCE	item 4032532	P2	DO_NOT_FIX		quest is behind an expired end date 200912280000 | no source at all
10497	이상한 물약을 다시 만들어 주세요.			MISSING_ITEM_SOURCE	item 3994184	P2	DO_NOT_FIX		Korean-titled 2009 winter-event quest in the 1049x block. Its own start block carries no end date, but the block it belongs to does - 10487/10490/10496 all end 200912280000 - and 10491-10494 all demand the same item 3994185 that expired 10497 demands. Event content v84 shipped switched off; do not build it. | no source at all
10497	이상한 물약을 다시 만들어 주세요.			MISSING_ITEM_SOURCE	item 3994185	P2	DO_NOT_FIX		Korean-titled 2009 winter-event quest in the 1049x block. Its own start block carries no end date, but the block it belongs to does - 10487/10490/10496 all end 200912280000 - and 10491-10494 all demand the same item 3994185 that expired 10497 demands. Event content v84 shipped switched off; do not build it. | no source at all
10497	이상한 물약을 다시 만들어 주세요.			QUEST_RECORD_NO_WRITER	record 10497	P2	DO_NOT_FIX		Korean-titled 2009 winter-event quest in the 1049x block. Its own start block carries no end date, but the block it belongs to does - 10487/10490/10496 all end 200912280000 - and 10491-10494 all demand the same item 3994185 that expired 10497 demands. Event content v84 shipped switched off; do not build it.
