array	rows	sets	categories	sample_row
Etc.wz/Commodity.img	1040	{'removed': 1040}	{'ARRAY: writes INTO an existing slot': 1040}	Etc.wz/Commodity.img/2334/PbCash
String.wz/MonsterBook.img/9500317/reward	29	{'protect': 29}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 28}	String.wz/MonsterBook.img/9500317/reward/27
String.wz/MonsterBook.img/8500002/reward	26	{'protect': 26}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 25}	String.wz/MonsterBook.img/8500002/reward/65
String.wz/MonsterBook.img/1110100/reward	19	{'protect': 19}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 18}	String.wz/MonsterBook.img/1110100/reward/32
Map.wz/Map/Map1/105050300.img/life	17	{'removed': 17}	{'ARRAY: writes INTO an existing slot': 6, 'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 10}	Map.wz/Map/Map1/105050300.img/life/50/f
String.wz/MonsterBook.img/3210200/reward	17	{'protect': 17}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 16}	String.wz/MonsterBook.img/3210200/reward/28
String.wz/MonsterBook.img/2230102/reward	16	{'protect': 16}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 15}	String.wz/MonsterBook.img/2230102/reward/34
String.wz/MonsterBook.img/3230400/reward	15	{'protect': 15}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 14}	String.wz/MonsterBook.img/3230400/reward/32
String.wz/MonsterBook.img/2110200/reward	14	{'protect': 14}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 13}	String.wz/MonsterBook.img/2110200/reward/27
String.wz/MonsterBook.img/8180001/reward	14	{'protect': 14}	{'ARRAY: append would duplicate an existing entry': 1, 'ARRAY: gap after an earlier refusal': 13}	String.wz/MonsterBook.img/8180001/reward/60
