category	archive	image	decision	fieldsMovedToHis	fieldsLeftAsIs	unappliedDeletions	standingHis	standingV84	standingV84PlusHisAdditive	vacuousChecks	wrong	outcome
B DISJOINT at field level	Character	Character.wz/Cap/01002728.img	MERGE-BOTH	3	1	0	3	1	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Cap/01002777.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Character	Character.wz/Cap/01002784.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Cap/01002791.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Dragon/01942002.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Dragon/01952002.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Dragon/01962002.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Dragon/01972002.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Glove/01082235.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Glove/01082240.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
D WHOLESALE (overlap too wide to drill)	Character	Character.wz/Glove/01082262.img	TAKE-V84	0	30	0	0	30	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Character	Character.wz/Longcoat/01050131.img	MERGE-BOTH	2	1	0	3	0	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Character	Character.wz/Longcoat/01050132.img	MERGE-BOTH	2	1	0	3	0	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Character	Character.wz/Longcoat/01050133.img	MERGE-BOTH	2	1	0	3	0	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Character	Character.wz/Longcoat/01050134.img	MERGE-BOTH	2	1	0	3	0	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Character	Character.wz/Longcoat/01051150.img	MERGE-BOTH	2	1	0	3	0	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Character	Character.wz/Longcoat/01051151.img	MERGE-BOTH	2	1	0	3	0	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Character	Character.wz/Longcoat/01051152.img	MERGE-BOTH	2	1	0	3	0	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Character	Character.wz/Longcoat/01051153.img	MERGE-BOTH	2	1	0	3	0	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Longcoat/01052156.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Longcoat/01052161.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Shield/01092057.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Shoes/01072356.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Shoes/01072362.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
D WHOLESALE (overlap too wide to drill)	Character	Character.wz/TamingMob/01902040.img	TAKE-V84	0	9	0	0	9	0	0	0	VERIFIED BY CONTENT
D WHOLESALE (overlap too wide to drill)	Character	Character.wz/TamingMob/01902041.img	TAKE-V84	0	9	0	0	8	1	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
D WHOLESALE (overlap too wide to drill)	Character	Character.wz/TamingMob/01902042.img	TAKE-V84	0	9	0	0	5	4	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/TamingMob/01912033.img	TAKE-V84	0	10	0	0	10	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/TamingMob/01912034.img	TAKE-V84	0	8	0	0	7	1	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/TamingMob/01912035.img	TAKE-V84	0	10	0	0	6	4	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Weapon/01372044.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Weapon/01372045.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Character	Character.wz/Weapon/01382025.img	MERGE-BOTH	3	8	0	6	5	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Weapon/01382057.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
D WHOLESALE (overlap too wide to drill)	Character	Character.wz/Weapon/01382058.img	TAKE-V84	0	16	0	2	14	0	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
C TRUE OVERLAP (same field, both moved)	Character	Character.wz/Weapon/01382059.img	KEEP-HIS(info/level)	1	0	0	1	0	0	0	0	VERIFIED BY CONTENT
D WHOLESALE (overlap too wide to drill)	Character	Character.wz/Weapon/01452058.img	TAKE-V84	0	18	0	7	10	1	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
D WHOLESALE (overlap too wide to drill)	Character	Character.wz/Weapon/01472069.img	TAKE-V84	0	14	0	0	12	2	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
D WHOLESALE (overlap too wide to drill)	Character	Character.wz/Weapon/01492024.img	TAKE-V84	0	27	0	9	15	3	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
D WHOLESALE (overlap too wide to drill)	Etc	Etc.wz/Commodity.img	TAKE-V84	0	31	0	0	31	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Etc	Etc.wz/ItemMake.img	MERGE-BOTH	4	6	0	4	6	0	0	0	VERIFIED BY CONTENT
A DISJOINT at child level	Item	Item.wz/Consume/0202.img	MERGE-BOTH	14	49	0	14	49	0	0	0	VERIFIED BY CONTENT
A DISJOINT at child level	Item	Item.wz/Consume/0204.img	MERGE-BOTH	12	34	0	12	34	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Item	Item.wz/Consume/0228.img	TAKE-V84	0	2	0	0	2	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Item	Item.wz/Consume/0229.img	TAKE-V84	0	2	0	0	2	0	0	0	VERIFIED BY CONTENT
A DISJOINT at child level	Item	Item.wz/Etc/0400.img	MERGE-BOTH	17	20	0	17	19	1	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
C TRUE OVERLAP (same field, both moved)	Item	Item.wz/Etc/0403.img	TAKE-V84	0	1	0	0	1	0	0	0	VERIFIED BY CONTENT
A DISJOINT at child level	Item	Item.wz/Install/0301.img	MERGE-BOTH	1	5	0	1	5	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Map	Map.wz/Map/Map1/101000000.img	TAKE-V84	0	5	0	2	3	0	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
C TRUE OVERLAP (same field, both moved)	Map	Map.wz/Map/Map1/102000000.img	TAKE-V84	0	4	0	2	2	0	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
C TRUE OVERLAP (same field, both moved)	Map	Map.wz/Map/Map1/102000004.img	TAKE-V84	0	2	0	0	2	0	1	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Map	Map.wz/Map/Map1/103000000.img	TAKE-V84	0	3	0	2	1	0	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
C TRUE OVERLAP (same field, both moved)	Map	Map.wz/Map/Map1/120000105.img	TAKE-V84	0	12	0	0	12	0	1	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Map	Map.wz/Map/Map1/130000000.img	TAKE-V84	0	1	0	0	1	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Map	Map.wz/Map/Map1/130000101.img	TAKE-V84	0	1	0	0	1	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Map	Map.wz/Map/Map2/250000000.img	TAKE-V84	0	3	0	1	2	0	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
C TRUE OVERLAP (same field, both moved)	Map	Map.wz/Map/Map2/251000000.img	TAKE-V84	0	4	0	1	3	0	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
C TRUE OVERLAP (same field, both moved)	Map	Map.wz/Map/Map2/261000000.img	TAKE-V84	0	2	0	0	2	0	0	0	VERIFIED BY CONTENT
A DISJOINT at child level	Map	Map.wz/MapHelper.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Map	Map.wz/WorldMap/WorldMap.img	TAKE-V84	0	1	0	0	1	0	0	0	VERIFIED BY CONTENT
C TRUE OVERLAP (same field, both moved)	Map	Map.wz/WorldMap/WorldMap010.img	TAKE-V84	0	3	0	0	3	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/3300005.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/3300006.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/3300007.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/4130103.img	MERGE-BOTH	3	2	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/5090000.img	MERGE-BOTH	6	1	0	6	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/5090001.img	MERGE-BOTH	8	1	0	8	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/5120100.img	MERGE-BOTH	3	2	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/6090000.img	MERGE-BOTH	5	2	0	6	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/6090001.img	MERGE-BOTH	4	1	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/6090002.img	MERGE-BOTH	7	1	0	7	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/6090003.img	MERGE-BOTH	4	2	0	5	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/6090004.img	MERGE-BOTH	5	2	0	6	1	0	0	0	VERIFIED BY CONTENT
A DISJOINT at child level	Mob	Mob.wz/6300005.img	MERGE-BOTH	1	1	0	1	0	1	0	0	VERIFIED BY CONTENT; not purely v84 — phase B's additive layer already stands here and was not removed
B DISJOINT at field level	Mob	Mob.wz/7090000.img	MERGE-BOTH	5	1	0	5	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/7120100.img	MERGE-BOTH	4	1	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/7120101.img	MERGE-BOTH	4	1	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/7120102.img	MERGE-BOTH	4	1	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8090000.img	MERGE-BOTH	5	2	0	6	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8120100.img	MERGE-BOTH	4	1	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8120101.img	MERGE-BOTH	4	1	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8140510.img	MERGE-BOTH	4	1	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8150000.img	MERGE-BOTH	3	2	0	3	2	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8220007.img	MERGE-BOTH	3	1	0	3	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8220009.img	MERGE-BOTH	3	1	0	3	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8520000.img	MERGE-BOTH	0	2	1	1	2	0	0	0	VERIFIED BY CONTENT; 1 of his DELETIONS not applied (tool cannot delete)
B DISJOINT at field level	Mob	Mob.wz/8810018.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8820000.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8820002.img	MERGE-BOTH	3	3	0	4	2	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8820003.img	MERGE-BOTH	4	2	0	5	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8820004.img	MERGE-BOTH	4	2	0	5	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8820005.img	MERGE-BOTH	4	2	0	5	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8820006.img	MERGE-BOTH	4	2	0	5	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8820010.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8820011.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8820012.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8820013.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8820014.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8830000.img	MERGE-BOTH	3	2	0	4	1	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8830003.img	MERGE-BOTH	1	3	0	1	3	0	0	0	VERIFIED BY CONTENT
B DISJOINT at field level	Mob	Mob.wz/8830010.img	MERGE-BOTH	1	1	0	1	1	0	0	0	VERIFIED BY CONTENT
