file	bytes	sha256	source
Base.wz	6540	08112B086BE4131756341B569D2059DA6D00B2F75D1BEEBDCBE3B8F73E7E661E	v84-stock
Character.wz	211988446	47B504BF79FA98BDD5CCE8383F6517406A09932BB460F8E9D6926C75C5D179CA	merged
Effect.wz	78068632	4E42789E5C8E2224A49D1C79B97C8E7FF4C98A89DF9AB92672757766E3058C3A	v84-stock
Etc.wz	1881789	A97D9AA6D8C4FA978326795CEBC63CC9BE1187C2A2E90D1E0D815E175C3C9EBD	merged
EzorsiaV2_UI.wz	1370002	0FBBED3D8FDD326297D3F5055DA801705E5F8169B3E757CE4489958EB8EB020C	live-only
Item.wz	19061842	FEF2EE4069F821659C8FE8D3F8FA497D2793EBD1A0EADB3AD56C1BB198F7E88C	merged
List.wz	13336	7F9B67D010D8901F81B541B4C611F2FFA0B166001E4762D44FEDAB6AB7DFAD8B	v84-stock
Map.wz	655667164	4A1C0F9D44D78BFD40867E2335544390B5E53630551B9256E0B623E44B7606B3	merged
Mob.wz	498216053	9BDA15DD9129B89ED6A721CF3A6129B46303C867F9C71B09C47B82BA92A14BC0	merged
Morph.wz	6322806	F4E0CA1026153B08BB0A547B21DDC1C947B2E93EC20442156F37C23DD6C16C1E	v84-stock
Npc.wz	54866586	4F76A08B3610A7255D239FC36570E6059923AC812EC48397140183DFF8F34462	merged
Quest.wz	6323164	8304715686189C2962A7C396E6F23C0482AC156FB8DA9922D6BD8D4FE7C37A6B	merged
Reactor.wz	54984619	8EDC5BA98AD633176AEA8599DE849142B9D18B9327F2472ED3F1407ADF73320A	merged
Skill.wz	118196025	44712E69B5B449F1992C81436AFFC206D709C6563D4E3E44ECBD7821E7F31471	merged
Sound.wz	367173913	88373A1653B7888E83BD2B3285633F819E40CB8DCD487B9FB6BB81E18632C905	merged
String.wz	3702481	3DC4C88FCFF861941A52112A2335B45387B54D6D5B3E924303724BC0C4D0782F	merged
TamingMob.wz	797	20F06862CF1E420EC8E0096BF58E7343EA538673BE5F0BEE653431AA671EE72C	v84-stock
UI.wz	33547599	0DE1C928AB42498F5CBDD3FF03E244BC146559C37D3677A2B008ADCFCCAC57D0	merged
