archive	rows	forceRoots	added	forced	refused	exit	sec	peakMB	outBytes
Sound	2	0	2	0	0	0	1.3	108	367173913
Etc	2033	1	962	1	1071	3	3.2	177	1881789
Skill	8	5	8	5	0	0	1.5	165	118196025
Reactor	21	19	21	19	0	0	0.4	28	54984619
Item	103	3	83	3	20	3	1.7	136	19061842
UI	48	0	48	0	0	0	1.1	138	33547599
Quest	244	0	10	0	234	3	3.0	325	6323164
String	7604	0	6221	0	1383	3	3.7	202	3702481
Npc	5654	261	5648	261	6	3	5.0	210	54866586
Mob	838	28	838	28	0	0	9.2	380	498216053
Map	1768	681	1621	681	147	3	16.2	1435	655667164
Character	5220	5075	5211	5075	9	3	43.0	3575	211988446
TOTAL	23543	6073	20673	6073	2870	-	89.3	3575	2025609681
