# ticket 28 - v84 cash-shop SNs appended to Commodity.img at FRESH slots.
# v84's own slot indices are NOT usable here - see append-commodity.py.
# base 8958
# newslot	SN	v84slot	ItemId
8958	10002328	2322	1702261
8959	10002329	2323	1003072
8960	10002330	2324	1062122
8961	10002331	2325	5120034
8962	10002332	2326	5120034
8963	10002333	2327	5050005
8964	10002334	2328	5050006
8965	10002335	2329	5050007
8966	10002336	2330	5050008
8967	10002337	2331	5050009
8968	10002338	2332	5050005
8969	10002339	2333	5050006
8970	10002340	2334	5050007
8971	10002341	2335	5050008
8972	10002342	2336	5050009
8973	10002343	2337	9102287
8974	10002344	2338	9102288
8975	10002345	2339	1802064
8976	10002346	2340	5240028
8977	10002347	2341	5240028
8978	10002348	2342	9102282
8979	10002349	2343	9102283
8980	10002350	2344	1702263
8981	10002351	2345	1003077
8982	10002352	2346	1042184
8983	10002353	2347	1003070
8984	10002354	2348	1062121
8985	10102441	4750	9101608
8986	10102442	4751	5220012
8987	10102443	4752	5220012
8988	10102444	4753	5220012
8989	10102445	4754	9102289
8990	10102446	4755	9102290
8991	10102447	4756	9102291
8992	10102448	4757	9102292
8993	10102449	4758	9102293
8994	10102450	4759	9102294
8995	20000655	5415	1003072
8996	20000656	5416	1003074
8997	20000657	5417	1003079
8998	20000658	5418	1003077
8999	20000659	5419	1002785
9000	20000660	5420	1003070
9001	20000661	5421	1003089
9002	20200097	5640	1022068
9003	20200098	5641	1022068
9004	20300392	6034	1051208
9005	20300393	6035	1052245
9006	20300394	6036	1050168
9007	20300395	6037	1051209
9008	20400278	6316	1042142
9009	20400279	6317	1042184
9010	20500238	6556	1062093
9011	20500239	6557	1062122
9012	20500240	6558	1062121
9013	20600261	6820	1072437
9014	20600262	6821	1072438
9015	20600263	6822	1072439
9016	20600264	6823	1072443
9017	20700061	6885	1082272
9018	20800309	7193	1702155
9019	20800310	7194	1702261
9020	20800311	7195	1702262
9021	20800312	7196	1702264
9022	20800313	7197	1702263
9023	20800314	7198	1702268
9024	20900112	7311	1112904
9025	30000047	7464	5050005
9026	30000048	7465	5050006
9027	30000049	7466	5050007
9028	30000050	7467	5050008
9029	30000051	7468	5050009
9030	30200058	7573	5120034
9031	30200059	7574	5120034
9032	50200172	8117	5220012
9033	50200173	8118	5620006
9034	50200174	8119	5620006
9035	50200175	8120	5620007
9036	50200176	8121	5620007
9037	50200177	8122	5620007
9038	50200178	8123	5620008
9039	50200179	8124	5620008
9040	50200180	8125	5620008
9041	50200181	8126	5530029
9042	50200182	8127	5530030
9043	50200183	8128	5530028
9044	50200184	8129	5530027
9045	50200185	8130	5530028
9046	50200186	8131	5220012
9047	50200187	8132	5220012
9048	60100136	8495	1802064
9049	60200078	8574	5240028
9050	60200079	8575	5240028
9051	92000021	9045	1702268
9052	92000022	9046	1050168
9053	92000023	9047	1051209
9054	92000024	9048	1003089
9055	92000025	9049	1072443
9056	92000026	9050	1082272
9057	92000027	9051	5041000
9058	92000028	9052	5510000
9059	92000029	9053	5152000
9060	92000030	9054	5072000
9061	92000031	9055	5150003
9062	92000032	9056	5030000
