#kind	map	portal	v83_route	v84_route	v83_destination	v84_destination	distance
DESTINATION_SLOT_CHANGED	100000000	hp00	hp00->100000000/hp00_1	hp00->100000000/hp00_1	100000000/hp00_1[13]@5169,92	100000000/hp00[13]@1302,93	3867.0
DESTINATION_SLOT_CHANGED	100000000	hp00_1	hp00_1->100000000/hp00	hp00_1->100000000/hp00	100000000/hp00[12]@1302,93	100000000/unityPortal2[12]@5538,99	4236.0
DESTINATION_SLOT_CHANGED	100000000	hp01	hp01->100000000/hp01_1	hp01->100000000/hp01_1	100000000/hp01_1[27]@5801,454	100000000/hp01[27]@-377,273	6180.7
DESTINATION_SLOT_CHANGED	100000000	hp01_1	hp01_1->100000000/hp01	hp01_1->100000000/hp01	100000000/hp01[26]@-377,273	100000000/in02[26]@5136,453	5515.9
DESTINATION_SLOT_CHANGED	100000001	out02	out02->100000000/in02	out02->100000000/in02	100000000/in02[25]@5136,453	100000000/in01[25]@3848,124	1329.4
DESTINATION_SLOT_CHANGED	100000100	out00	out00->100000000/in00	out00->100000000/in00	100000000/in00[23]@3026,335	100000000/east10[23]@6073,-176	3089.6
DESTINATION_SLOT_CHANGED	100000200	out00	out00->100000000/in01	out00->100000000/in01	100000000/in01[24]@3848,124	100000000/in00[24]@3026,335	848.6
DESTINATION_SLOT_CHANGED	100010000	west00	west00->100000000/east00	west00->100000000/east00	100000000/east00[21]@5907,455	100000000/west00[21]@-922,272	6831.5
DESTINATION_SLOT_CHANGED	100020000	east00	east00->100030000/west00	east00->100030000/west00	100030000/west00[18]@-4326,154	100030000/east00[18]@-947,-865	3529.3
DESTINATION_SLOT_CHANGED	100030000	h_east00	h_east00->100030000/h_west00	h_east00->100030000/h_west00	100030000/h_west00[16]@-2986,273	100030000/h_east00[16]@-1237,-870	2089.4
DESTINATION_SLOT_CHANGED	100030000	h_west00	h_west00->100030000/h_east00	h_west00->100030000/h_east00	100030000/h_east00[15]@-1237,-870	100030000/in00[15]@-3368,-1463	2212.0
DESTINATION_SLOT_CHANGED	100030001	out00	out00->100030000/in00	out00->100030000/in00	100030000/in00[14]@-3368,-1463	100030000/in01[14]@-4431,-1287	1077.5
DESTINATION_SLOT_CHANGED	100040000	west00	west00->100030000/east00	west00->100030000/east00	100030000/east00[17]@-947,-865	100030000/h_west00[17]@-2986,273	2335.1
DESTINATION_SLOT_CHANGED	100050000	east00	east00->101000000/west00	east00->101000000/west00	101000000/west00[42]@-1012,298	101000000/wd00[42]@27,-1417	2005.2
DESTINATION_SLOT_CHANGED	101000000	ph00	ph00->101000000/ph00_1	ph00->101000000/ph00_1	101000000/ph00_1[29]@425,180	101000000/ph00[29]@-1068,-2475	3046.0
DESTINATION_SLOT_CHANGED	101000000	ph00_1	ph00_1->101000000/ph00	ph00_1->101000000/ph00	101000000/ph00[28]@-1068,-2475	101000000/unityPortal2[28]@845,363	3422.5
DESTINATION_SLOT_CHANGED	101000000	ph01	ph01->101000000/ph01_1	ph01->101000000/ph01_1	101000000/ph01_1[40]@-120,-3177	101000000/ph01[40]@-609,-54	3161.1
DESTINATION_SLOT_CHANGED	101000000	ph01_1	ph01_1->101000000/ph01	ph01_1->101000000/ph01	101000000/ph01[39]@-609,-54	101000000/gm04[39]@480,-3547	3658.8
DESTINATION_SLOT_CHANGED	101000000	hp02	hp02->101000000/hp02_1	hp02->101000000/hp02_1	101000000/hp02_1[48]@1191,-2315	101000000/hp02[48]@-429,-945	2121.6
DESTINATION_SLOT_CHANGED	101000000	hp02_1	hp02_1->101000000/hp02	hp02_1->101000000/hp02	101000000/hp02[47]@-429,-945	101000000/in03[47]@819,-3072	2466.1
DESTINATION_SLOT_CHANGED	101000001	out00	out00->101000000/in00	out00->101000000/in00	101000000/in00[44]@786,-2281	101000000/top00[44]@-1091,-2809	1949.8
DESTINATION_SLOT_CHANGED	101000002	out01	out01->101000000/in01	out01->101000000/in01	101000000/in01[45]@-123,-1940	101000000/in00[45]@786,-2281	970.9
DESTINATION_SLOT_CHANGED	101000200	out00	out00->101000000/in02	out00->101000000/in02	101000000/in02[30]@1330,236	101000000/ph00_1[30]@425,180	906.7
DESTINATION_SLOT_CHANGED	101000300	out00	out00->101000000/in03	out00->101000000/in03	101000000/in03[46]@819,-3072	101000000/in01[46]@-123,-1940	1472.7
DESTINATION_SLOT_CHANGED	101010000	east00	east00->101000000/top00	east00->101000000/top00	101000000/top00[43]@-1091,-2809	101000000/west00[43]@-1012,298	3108.0
DESTINATION_SLOT_CHANGED	101040000	west00	west00->102000000/east00	west00->102000000/east00	102000000/east00[22]@2597,1244	102000000/gm04[22]@358,1929	2341.4
DESTINATION_SLOT_CHANGED	102000000	h_00	h_00->102000000/h_01	h_00->102000000/h_01	102000000/h_01[15]@1631,744	102000000/h_00[15]@2504,1937	1478.3
DESTINATION_SLOT_CHANGED	102000000	h_01	h_01->102000000/h_00	h_01->102000000/h_00	102000000/h_00[14]@2504,1937	102000000/unityPortal2[14]@1992,1672	576.5
DESTINATION_SLOT_CHANGED	102000001	out00	out00->102000000/in00	out00->102000000/in00	102000000/in00[26]@2255,650	102000000/in01[26]@1011,964	1283.0
DESTINATION_SLOT_CHANGED	102000002	out01	out01->102000000/in01	out01->102000000/in01	102000000/in01[25]@1011,964	102000000/under00[25]@2824,1931	2054.8
DESTINATION_SLOT_CHANGED	102000003	out02	out02->102000000/in02	out02->102000000/in02	102000000/in02[27]@1984,-107	102000000/in00[27]@2255,650	804.0
DESTINATION_SLOT_CHANGED	102010000	east00	east00->102000000/west00	east00->102000000/west00	102000000/west00[23]@67,1686	102000000/east00[23]@2597,1244	2568.3
DESTINATION_SLOT_CHANGED	102050000	west00	west00->103000000/east00	west00->103000000/east00	103000000/east00[39]@2512,-204	103000000/gm04[39]@-1174,-992	3769.3
DESTINATION_SLOT_CHANGED	103000000	ph02_1	ph02_1->103000000/ph02	ph02_1->103000000/ph02	103000000/ph02[24]@2030,309	103000000/ph02_1[24]@-2345,255	4375.3
DESTINATION_SLOT_CHANGED	103000000	ph02	ph02->103000000/ph02_1	ph02->103000000/ph02_1	103000000/ph02_1[23]@-2345,255	103000000/unityPortal2[23]@2194,372	4540.5
DESTINATION_SLOT_CHANGED	103000000	ph03	ph03->103000000/ph03_1	ph03->103000000/ph03_1	103000000/ph03_1[42]@1313,154	103000000/ph03[42]@-855,154	2168.0
DESTINATION_SLOT_CHANGED	103000000	ph03_1	ph03_1->103000000/ph03	ph03_1->103000000/ph03	103000000/ph03[41]@-855,154	103000000/west00[41]@-2279,153	1424.0
