mapid	source	spanX	spanY	scrollX_800x600	scrollY_800x600	scrollX_1280x720	scrollY_1280x720	pinned_1280x720
551030006	none							?
550000300	VR	1890	1820	1090	1220	610	1100	0
540020100	VR	2360	1520	1560	920	1080	800	0
540000300	VR	2640	1175	1840	575	1360	455	0
541010020	VR	800	600	0	0	0	0	1
551030016	none							?
541010030	VR	800	600	0	0	0	0	1
540010100	VR	1300	630	500	30	20	0	1
551030011	none							?
551030100	VR	2270	2095	1470	1495	990	1375	0
540000200	VR	2730	1510	1930	910	1450	790	0
551030200	VR	1475	1800	675	1200	195	1080	0
540000000	VR	5515	1436	4715	836	4235	716	0
541000000	VR	5550	950	4750	350	4270	230	0
551030010	none							?
541010000	VR	1600	600	800	0	320	0	1
540010101	VR	800	600	0	0	0	0	1
551030007	none							?
551000000	VR	2255	2010	1455	1410	975	1290	0
551020000	VR	1550	1800	750	1200	270	1080	0
540010002	VR	810	580	10	0	0	0	1
541000200	VR	4080	600	3280	0	2800	0	1
551030003	none							?
540010001	VR	1110	620	310	20	0	0	1
551030002	none							?
551000200	VR	2085	2210	1285	1610	805	1490	0
551030015	none							?
551000100	VR	2080	1830	1280	1230	800	1110	0
551030000	VR	2085	2200	1285	1600	805	1480	0
550000400	VR	1980	1780	1180	1180	700	1060	0
551030009	none							?
541000300	VR	4100	1335	3300	735	2820	615	0
541000100	VR	5060	1100	4260	500	3780	380	0
540000100	VR	3810	1020	3010	420	2530	300	0
541010050	VR	1600	600	800	0	320	0	1
551030001	foothold-est	1622	966	822	366	342	246	0
551030004	none							?
541010010	VR	1595	600	795	0	315	0	1
551010000	VR	2180	2210	1380	1610	900	1490	0
541010110	VR	1805	1025	1005	425	525	305	0
550000100	VR	2150	2210	1350	1610	870	1490	0
550000000	VR	4780	2090	3980	1490	3500	1370	0
540020000	VR	3440	1620	2640	1020	2160	900	0
551030019	none							?
551030018	none							?
551030020	none							?
551030012	none							?
551030013	none							?
551030014	none							?
551030005	none							?
541010060	VR	800	600	0	0	0	0	1
551030008	none							?
541010040	VR	1590	610	790	10	310	0	1
551030017	none							?
541010100	VR	1060	600	260	0	0	0	1
550000200	VR	2210	1940	1410	1340	930	1220	0
540010000	VR	1200	615	400	15	0	0	1
683000117	VR	1385	2077	585	1477	105	1357	0
683000109	VR	1385	2077	585	1477	105	1357	0
682010101	VR	1062	709	262	109	0	0	1
680000003	VR	800	600	0	0	0	0	1
610020000	foothold-est	4160	2045	3360	1445	2880	1325	0
677000012	VR	1710	1475	910	875	430	755	0
682000504	VR	1050	767	250	167	0	47	1
682000404	foothold-est	1102	160	302	0	0	0	1
610030600	VR	3532	1179	2732	579	2252	459	0
677000002	foothold-est	1108	940	308	340	0	220	1
683000118	VR	1385	2077	585	1477	105	1357	0
600010400	foothold-est	6674	1221	5874	621	5394	501	0
610030200	VR	3158	827	2358	227	1878	107	0
682000402	foothold-est	1096	160	296	0	0	0	1
682010203	foothold-est	2322	884	1522	284	1042	164	0
610030011	VR	1770	1000	970	400	490	280	0
680000500	foothold-est	1286	704	486	104	6	0	1
682000303	foothold-est	1098	160	298	0	0	0	1
600020400	foothold-est	2900	2464	2100	1864	1620	1744	0
683000103	VR	1385	2077	585	1477	105	1357	0
674030200	foothold-est	1182	905	382	305	0	185	1
600000000	foothold-est	6215	2578	5415	1978	4935	1858	0
682000606	VR	1053	770	253	170	0	50	1
610010002	foothold-est	3896	954	3096	354	2616	234	0
610030700	VR	2566	890	1766	290	1286	170	0
610010004	foothold-est	2636	792	1836	192	1356	72	0
682010102	VR	1062	709	262	109	0	0	1
680000400	foothold-est	2276	1866	1476	1266	996	1146	0
610010202	foothold-est	2456	912	1656	312	1176	192	0
677000009	foothold-est	1100	340	300	0	0	0	1
670000100	foothold-est	2006	1206	1206	606	726	486	0
683000105	VR	1385	2077	585	1477	105	1357	0
683000113	VR	1385	2077	585	1477	105	1357	0
680000000	foothold-est	6776	2531	5976	1931	5496	1811	0
610030010	VR	3110	1800	2310	1200	1830	1080	0
677000010	foothold-est	1288	160	488	0	8	0	1
682010202	foothold-est	2322	884	1522	284	1042	164	0
610010201	foothold-est	2456	912	1656	312	1176	192	0
682000501	VR	1054	845	254	245	0	125	1
682010201	foothold-est	2322	884	1522	284	1042	164	0
610010003	foothold-est	3356	1092	2556	492	2076	372	0
610020002	foothold-est	2720	2225	1920	1625	1440	1505	0
683010000	foothold-est	842	855	42	255	0	135	1
610020005	foothold-est	2180	1625	1380	1025	900	905	0
610010101	foothold-est	3986	372	3186	0	2706	0	1
683000112	VR	1385	2077	585	1477	105	1357	0
680000200	foothold-est	840	669	40	69	0	0	1
600010600	VR	3349	2053	2549	1453	2069	1333	0
600020500	foothold-est	2900	1984	2100	1384	1620	1264	0
683000116	VR	1385	2077	585	1477	105	1357	0
670010100	foothold-est	1900	485	1100	0	620	0	1
682010100	VR	1062	709	262	109	0	0	1
610030000	VR	2453	991	1653	391	1173	271	0
600020200	foothold-est	2540	2320	1740	1720	1260	1600	0
610030522	VR	4385	1130	3585	530	3105	410	0
610010000	foothold-est	3176	1032	2376	432	1896	312	0
677000006	foothold-est	1047	1162	247	562	0	442	1
610030014	VR	1770	1000	970	400	490	280	0
610030015	VR	1770	1000	970	400	490	280	0
683070401	VR	1618	1560	818	960	338	840	0
600020100	foothold-est	2542	1895	1742	1295	1262	1175	0
610020010	foothold-est	2450	785	1650	185	1170	65	0
610030300	VR	2750	3450	1950	2850	1470	2730	0
600020600	foothold-est	2900	754	2100	154	1620	34	0
610030500	foothold-est	3260	2104	2460	1504	1980	1384	0
610020014	foothold-est	2270	965	1470	365	990	245	0
600010300	foothold-est	2894	1337	2094	737	1614	617	0
670011000	foothold-est	926	640	126	40	0	0	1
682000305	foothold-est	1098	200	298	0	0	0	1
670010200	foothold-est	5500	2590	4700	1990	4220	1870	0
610030540	VR	3310	1350	2510	750	2030	630	0
682000602	VR	1052	765	252	165	0	45	1
674030100	foothold-est	1092	485	292	0	0	0	1
683000114	VR	1385	2077	585	1477	105	1357	0
610030800	VR	2400	1170	1600	570	1120	450	0
681000000	VR	793	594	0	0	0	0	1
683000120	VR	1385	2077	585	1477	105	1357	0
600010005	VR	1960	594	1160	0	680	0	1
600010001	VR	1197	471	397	0	0	0	1
610030020	foothold-est	2810	1024	2010	424	1530	304	0
677000008	foothold-est	1100	1120	300	520	0	400	1
683000123	VR	1385	2077	585	1477	105	1357	0
610030013	VR	1770	1000	970	400	490	280	0
682010002	foothold-est	1624	160	824	0	344	0	1
600010004	VR	1047	600	247	0	0	0	1
610020006	VR	1916	1603	1116	1003	636	883	0
670010700	foothold-est	2440	1150	1640	550	1160	430	0
670010750	foothold-est	1900	2620	1100	2020	620	1900	0
682000502	VR	1055	790	255	190	0	70	1
680000110	VR	800	600	0	0	0	0	1
670010300	foothold-est	1810	2315	1010	1715	530	1595	0
610010005	foothold-est	3536	1212	2736	612	2256	492	0
680100000	foothold-est	1016	897	216	297	0	177	1
600000001	VR	931	572	131	0	0	0	1
683000111	VR	1385	2077	585	1477	105	1357	0
683000107	VR	1385	2077	585	1477	105	1357	0
683000127	VR	1385	2077	585	1477	105	1357	0
677000003	foothold-est	1288	340	488	0	8	0	1
682000600	foothold-est	2130	478	1330	0	850	0	1
610020012	foothold-est	2270	965	1470	365	990	245	0
610010100	foothold-est	3986	372	3186	0	2706	0	1
670010000	foothold-est	2906	426	2106	0	1626	0	1
610030550	VR	1583	1854	783	1254	303	1134	0
610020003	foothold-est	2225	1685	1425	1085	945	965	0
682000001	foothold-est	2096	335	1296	0	816	0	1
677000011	foothold-est	1558	2140	758	1540	278	1420	0
683000121	VR	1385	2077	585	1477	105	1357	0
683070402	VR	2158	1560	1358	960	878	840	0
