# mob id	stat	server value	v84 value  (shared ids only; server-read stats only)
# 1108 rows
100100	mobType	0	-
100101	mobType	0	-
120100	mobType	4	-
130100	mobType	4	-
130101	mobType	0	-
210100	mobType	5	-
1110100	mobType	4	-
1110101	mobType	4	-
1110130	mobType	4	-
1120100	mobType	0	-
1130100	mobType	4	-
1140100	mobType	4	-
1140130	mobType	4	-
1210100	mobType	0	-
1210101	mobType	0	-
1210102	mobType	4	-
1210103	mobType	5	-
2100100	mobType	0	-
2100101	mobType	0	-
2100102	mobType	4	-
2100103	mobType	4	-
2100104	mobType	4	-
2100105	mobType	1	-
2100106	mobType	1	-
2100107	mobType	1	-
2100108	mobType	0	-
2110200	mobType	4	-
2110301	mobType	0	-
2130100	mobType	4	-
2130103	mobType	1	-
2220000	mobType	0	-
2220100	mobType	4	-
2230100	mobType	1	-
2230101	elemAttr	H3	H3D2
2230101	mobType	7	-
2230102	mobType	0	-
2230103	elemAttr	H2F3	H2F3D3
2230103	mobType	8	-
2230104	mobType	8	-
2230105	mobType	3	-
2230106	mobType	3	-
2230110	mobType	6	-
2230111	mobType	6	-
2230131	elemAttr	H3	H3D2
2230131	mobType	7	-
2230200	mobType	3	-
2300100	summonType	1	-
3000000	elemAttr	H2L2I3	H2L2I3D3
3000000	mobType	8	-
3000001	mobType	5	-
3000002	mobType	5	-
3000003	mobType	5	-
3000004	mobType	5	-
3000005	mobType	8	-
3000006	mobType	3	-
3100101	mobType	5	-
3100102	mobType	2	-
3110100	mobType	1	-
3110101	mobType	8	-
3110102	mobType	8	-
3110300	mobType	8	-
3110301	mobType	5	-
3110302	mobType	8	-
3110303	mobType	8	-
3210100	mobType	0	-
3210200	mobType	0	-
3210201	mobType	0	-
3210202	mobType	0	-
3210203	mobType	8	-
3210204	mobType	8	-
3210205	mobType	8	-
3210207	mobType	5	-
3210208	mobType	8	-
3210450	mobType	0	-
3210800	mobType	0	-
3220000	mobType	4	-
3220001	mobType	4	-
3230100	mobType	1	-
3230101	elemAttr	H3F3	H3F3D2
3230101	mobType	7	-
3230102	mobType	3	-
3230103	mobType	8	-
3230200	elemAttr	H2	H2D3
3230200	mobType	5	-
3230300	mobType	5	-
3230301	mobType	5	-
3230302	mobType	8	-
3230305	mobType	8	-
3230306	mobType	5	-
3230400	mobType	8	-
3230405	mobType	0	-
3300000	mobType	0	-
3300001	mobType	0	-
3300002	mobType	0	-
3300003	mobType	0	-
3300004	mobType	0	-
3300005	boss	1	-
3300006	boss	1	-
3300007	boss	1	-
3300008	mobType	8	-
4110300	mobType	8	-
4110301	mobType	8	-
4110302	mobType	8	-
4130100	mobType	1	-
4130101	mobType	1	-
4130102	elemAttr	H3	H3D2
4130102	mobType	4	-
4130103	hpTagColor	1	-
4130103	hpTagBgcolor	5	-
4130103	mobType	8	-
4130104	elemAttr	H3	H3D2
4130104	mobType	4	-
4220001	mobType	3	-
4230100	mobType	1	-
4230101	elemAttr	H3	H3D2
4230101	mobType	7	-
4230102	elemAttr	H3	H3D2
4230102	mobType	7	-
4230103	mobType	0	-
4230104	mobType	3	-
4230105	mobType	4	-
4230106	mobType	5	-
4230108	mobType	0	-
4230109	mobType	8	-
4230110	mobType	8	-
4230111	mobType	8	-
4230112	mobType	8	-
4230113	mobType	5	-
4230114	mobType	5	-
4230115	mobType	5	-
4230116	mobType	5	-
4230118	mobType	5	-
4230119	mobType	5	-
4230120	mobType	8	-
4230121	mobType	5	-
4230122	mobType	4	-
4230123	mobType	0	-
4230124	mobType	0	-
4230125	elemAttr	H3	H3D2
4230125	mobType	7	-
4230126	elemAttr	H3	H3D2
4230126	mobType	7	-
4230300	mobType	0	-
4230400	mobType	0	-
4230500	mobType	0	-
4230501	mobType	0	-
4230502	mobType	5	-
4230503	mobType	1	-
4230504	mobType	1	-
4230505	mobType	8	-
4230506	mobType	8	-
4230600	mobType	5	-
4240000	elemAttr	I2L2F2H2	I2L2F2H2D2
4240000	mobType	5	-
4250000	summonType	1	-
5090000	maxHP	30000	4800
5090000	exp	5600	180
5090000	eva	42	999
5090000	hpTagColor	1	-
5090000	hpTagBgcolor	5	-
5090001	maxHP	15375000	5600
5090001	maxMP	120000	200
5090001	level	128	59
5090001	exp	114200	220
5090001	eva	64	999
5090001	hpTagColor	1	-
5090001	hpTagBgcolor	5	-
5100000	mobType	0	-
5100001	mobType	0	-
5100002	mobType	5	-
5100002	selfDestruction	-	
5100003	mobType	0	-
5100004	elemAttr	F3H3	F3H3D2
5100004	mobType	0	-
5100005	mobType	0	-
5110300	mobType	8	-
5110301	mobType	8	-
5110302	mobType	8	-
5120000	elemAttr	I2F2L2H2	I2F2L2H2D2
5120000	mobType	5	-
5120001	mobType	0	-
5120002	mobType	0	-
5120003	mobType	0	-
5120100	hpTagColor	1	-
5120100	hpTagBgcolor	5	-
5120100	mobType	8	-
5120500	mobType	0	-
5120501	mobType	4	-
5120502	mobType	4	-
5120503	mobType	8	-
5120504	mobType	8	-
5120505	mobType	0	-
5120506	mobType	5	-
5130100	mobType	1	-
5130101	mobType	8	-
5130102	elemAttr	H3	H3D2
5130102	mobType	8	-
5130103	mobType	1	-
5130104	mobType	0	-
5130105	elemAttr	H3	H3D2
5130105	mobType	0	-
5130106	elemAttr	H3	H3D2
5130106	mobType	0	-
5130107	elemAttr	S1H3	S1H3D2
5130107	mobType	7	-
5130108	elemAttr	S1H3	S1H3D2
5130108	mobType	7	-
5140000	mobType	0	-
5150000	mobType	8	-
5150001	elemAttr	H3	H3D2
5150001	mobType	7	-
5200000	mobType	8	-
5200001	mobType	8	-
5200002	mobType	8	-
5220003	mobType	8	-
5300000	mobType	5	-
5300001	elemAttr	H3	H3D2
5300001	mobType	5	-
5300100	elemAttr	H3	H3D2
5400000	mobType	0	-
6090000	level	74	65
6090000	exp	25000	255
6090000	hpTagColor	1	-
6090000	hpTagBgcolor	5	-
6090000	mobType	7	-
6090001	exp	10320	250
6090001	hpTagColor	1	-
6090001	hpTagBgcolor	5	-
6090002	maxHP	86890	12500
6090002	maxMP	2000	300
6090002	exp	17000	265
6090002	eva	70	999
6090002	hpTagColor	1	-
6090002	hpTagBgcolor	5	-
6090003	exp	3984	240
6090003	hpTagColor	1	-
6090003	hpTagBgcolor	5	-
6090003	mobType	7	-
6090004	maxHP	7600000	7600
6090004	eva	100	999
6090004	hpTagColor	1	-
6090004	hpTagBgcolor	5	-
6090004	mobType	7	-
6110301	mobType	7	-
6130100	mobType	1	-
6130101	mobType	4	-
6130102	mobType	0	-
6130104	elemAttr	H2	H2D3
6130104	mobType	5	-
6130200	mobType	6	-
6130201	elemAttr	H3I3	H3I3D2
6130201	mobType	6	-
6130202	elemAttr	F2I2H3	F2I2H3D2
6130202	mobType	6	-
6130203	mobType	0	-
6130204	mobType	1	-
6130207	mobType	0	-
6130208	mobType	6	-
6130209	mobType	0	-
6220000	mobType	1	-
6220001	mobType	1	-
6230100	mobType	1	-
6230101	mobType	6	-
6230200	elemAttr	H3	H3D2
6230200	mobType	0	-
6230201	elemAttr	H3	H3D2
6230201	mobType	0	-
6230300	mobType	6	-
6230400	elemAttr	L2I2H3	L2I2H3D2
6230400	mobType	6	-
6230401	elemAttr	S1H3	S1H3D2
6230401	mobType	0	-
6230500	elemAttr	L2I1H3	L2I1H3D2
6230500	mobType	6	-
6230600	mobType	1	-
6230601	mobType	1	-
6230602	elemAttr	H3	H3D2
6230602	mobType	7	-
6300000	mobType	0	-
6300001	mobType	0	-
6300002	mobType	0	-
6300003	elemAttr	H2	H2D3
6300003	mobType	6	-
6300004	elemAttr	F1H2L2S2I1	F1H2L2S2I1D2
6300004	mobType	6	-
6300004	selfDestruction	-	
6300005	mobType	7	-
6300100	mobType	6	-
6400000	elemAttr	H3	H3D2
6400000	mobType	0	-
6400001	elemAttr	H3	H3D2
6400001	mobType	0	-
6400002	elemAttr	H3	H3D2
6400002	mobType	0	-
6400003	elemAttr	H2	H2D3
6400003	mobType	6	-
6400004	elemAttr	L2H2S2I1F3	L2H2S2I1F3D2
6400004	mobType	6	-
6400005	elemAttr	S1H3	S1H3D2
6400005	mobType	6	-
6400006	elemAttr	S1H3	S1H3D2
6400006	mobType	6	-
6400007	elemAttr	S1H3	S1H3D2
6400008	elemAttr	S1H3	S1H3D2
6400008	mobType	6	-
6400009	elemAttr	S1H3	S1H3D2
6400009	mobType	6	-
6400100	mobType	6	-
7090000	maxHP	150000	16000
7090000	eva	110	999
7090000	hpTagColor	1	-
7090000	hpTagBgcolor	5	-
7110300	mobType	8	-
7110301	mobType	8	6
7120100	maxHP	90000	15000
7120100	hpTagColor	1	-
7120100	hpTagBgcolor	5	-
7120101	maxHP	102000	15000
7120101	hpTagColor	1	-
7120101	hpTagBgcolor	5	-
7120102	maxHP	114000	15000
7120102	hpTagColor	1	-
7120102	hpTagBgcolor	5	-
7130000	elemAttr	S1H3	S1H3D2
7130000	mobType	0	-
7130001	mobType	0	-
7130002	mobType	0	-
7130003	mobType	0	-
7130004	mobType	5	-
7130010	elemAttr	H3F3	H3F3D2
7130010	mobType	6	-
7130100	mobType	0	-
7130101	mobType	0	-
7130102	mobType	0	-
7130103	elemAttr	H3I2S1	H3I2S1D2
7130103	mobType	7	-
7130104	mobType	6	-
7130200	mobType	0	-
7130300	elemAttr	H3I2L2	H3I2L2D2
7130300	mobType	6	-
7130400	mobType	6	-
7130401	mobType	6	-
7130402	mobType	6	-
7130500	mobType	5	-
7130501	mobType	5	-
7130600	mobType	5	-
7130601	mobType	5	-
7130602	mobType	4	-
7140000	mobType	6	-
7160000	mobType	6	-
7220000	mobType	0	-
7220001	mobType	0	-
8090000	maxHP	175000	27000
8090000	eva	120	999
8090000	hpTagColor	1	-
8090000	hpTagBgcolor	5	-
8090000	mobType	8	-
8110300	mobType	8	-
8120100	maxHP	126000	15000
8120100	hpTagColor	1	-
8120100	hpTagBgcolor	5	-
8120101	maxHP	138000	15000
8120101	hpTagColor	1	-
8120101	hpTagBgcolor	5	-
8120102	elemAttr	I2S1H2	I2S1H2D3
8120102	mobType	1	-
8120103	elemAttr	S1H2	S1H2D3
8130100	elemAttr	S1H3	S1H3D2
8130100	mobType	6	-
8140000	mobType	0	-
8140001	mobType	2	-
8140002	mobType	2	-
8140100	elemAttr	H3	H3D2
8140100	mobType	0	-
8140101	elemAttr	H3	H3D2
8140101	mobType	5	-
8140102	mobType	5	-
8140103	mobType	5	-
8140110	elemAttr	H2I3	H2I3D3
8140110	mobType	0	-
8140111	elemAttr	H2S2	H2S2D3
8140111	mobType	0	-
8140200	elemAttr	H3F3	H3F3D2
8140200	mobType	6	-
8140300	elemAttr	H3	H3D2
8140300	mobType	6	-
8140500	mobType	0	-
8140510	maxHP	150000	15000
8140510	hpTagColor	1	-
8140510	hpTagBgcolor	5	-
8140511	elemAttr	S2H2	S2H2D3
8140555	mobType	3	-
8140600	elemAttr	F2H3	F2H3D2
8140600	mobType	7	-
8140700	mobType	1	-
8140701	mobType	1	-
8140702	mobType	1	-
8140703	mobType	1	-
8141000	mobType	6	-
8141100	mobType	6	-
