# npc id	server has Npc.wz image?	shared maps v84 places it on (PlayerNPC range 9901910-9901919 excluded)
# 156 rows
1011101	img	100000100
1022106	img	106000000,106000100,106000200
1022107	img	101030000,101030100,101030200,101030300,101030400
2030015	img	211040400
2092100	img	251000000
9010012	img	200010000
9010013	img	240010200
9901000	img	102000003
9901001	img	102000004
9901002	img	102000004
9901003	img	102000004
9901004	img	102000004
9901005	img	102000004
9901006	img	102000004
9901007	img	102000004
9901008	img	102000004
9901100	img	101000004
9901101	img	101000004
9901102	img	101000004
9901103	img	101000004
9901104	img	101000004
9901105	img	101000004
9901106	img	101000004
9901107	img	101000004
9901200	img	100000204
9901300	img	103000008
9901301	img	103000008
9901500	img	130000100
9901501	img	130000100
9901502	img	130000100
9901503	img	130000100
9901504	img	130000100
9901505	img	130000100
9901506	img	130000100
9901507	img	130000100
9901508	img	130000100
9901509	img	130000100
9901510	img	130000100
9901511	img	130000100
9901512	img	130000100
9901513	img	130000100
9901514	img	130000100
9901515	img	130000100
9901516	img	130000100
9901517	img	130000110
9901518	img	130000110
9901519	img	130000110
9901520	img	130000110
9901521	img	130000110
9901522	img	130000110
9901523	img	130000110
9901524	img	130000110
9901525	img	130000110
9901526	img	130000110
9901527	img	130000110
9901528	img	130000110
9901529	img	130000110
9901530	img	130000110
9901531	img	130000110
9901532	img	130000110
9901533	img	130000110
9901534	img	130000110
9901535	img	130000110
9901536	img	130000110
9901537	img	130000110
9901538	img	130000120
9901539	img	130000120
9901540	img	130000120
9901541	img	130000120
9901542	img	130000120
9901543	img	130000120
9901544	img	130000120
9901545	img	130000120
9901546	img	130000120
9901547	img	130000120
9901548	img	130000120
9901549	img	130000120
9901550	img	130000120
9901551	img	130000120
9901600	img	140010110
9901601	img	140010110
9901602	img	140010110
9901603	img	140010110
9901604	img	140010110
9901605	img	140010110
9901606	img	140010110
9901607	img	140010110
9901608	img	140010110
9901609	img	140010110
9901610	img	140010110
9901611	img	140010110
9901612	img	140010110
9901613	img	140010110
9901614	img	140010110
9901615	img	140010110
9901616	img	140010110
9901740	img	120000105
9901741	img	120000105
9901742	img	120000105
9901743	img	120000105
9901744	img	120000105
9901745	img	120000105
9901746	img	120000105
9901747	img	120000105
9901748	img	120000105
9901749	img	120000105
9901800	img	130000101
9901801	img	130000101
9901802	img	130000101
9901803	img	130000101
9901804	img	130000101
9901805	img	130000101
9901806	img	130000101
9901807	img	130000101
9901808	img	130000101
9901809	img	130000101
9901810	img	130000101
9901811	img	130000101
9901812	img	130000101
9901813	img	130000101
9901814	img	130000101
9901815	img	130000101
9901816	img	130000101
9901817	img	130000101
9901818	img	130000101
9901819	img	130000101
9901820	img	130000101
9901821	img	130000101
9901822	img	130000101
9901823	img	130000101
9901824	img	130000101
9901825	img	130000101
9901826	img	130000101
9901827	img	130000101
9901828	img	130000101
9901829	img	130000101
9901830	img	130000101
9901831	img	130000101
9901832	img	130000101
9901833	img	130000101
9901834	img	130000101
9901835	img	130000101
9901836	img	130000101
9901837	img	130000101
9901838	img	130000101
9901839	img	130000101
9901840	img	130000101
9901841	img	130000101
9901842	img	130000101
9901843	img	130000101
9901844	img	130000101
9901845	img	130000101
9901846	img	130000101
9901847	img	130000101
9901848	img	130000101
9901849	img	130000101
