# id	stat	v83-stock	v84-stock	this server - v83 and v84 agree; this server differs. OWNER'S custom balance, preserve.
# 122 rows
1002424	cash	-	-	0
1002425	cash	-	-	0
1002448	cash	-	-	0
1002562	cash	-	-	0
1002723	cash	-	-	0
1002739	reqJob	5	5	21
1002788	cash	-	-	0
1002971	cash	-	-	0
1002980	cash	-	-	0
1002981	cash	-	-	0
1003073	cash	-	-	0
1012011	cash	-	-	0
1012012	cash	-	-	0
1012013	cash	-	-	0
1012014	cash	-	-	0
1012015	cash	-	-	0
1012016	cash	-	-	0
1012017	cash	-	-	0
1012018	cash	-	-	0
1012019	cash	-	-	0
1012020	cash	-	-	0
1012058	cash	-	-	0
1012059	cash	-	-	0
1012060	cash	-	-	0
1012061	cash	-	-	0
1012098	cash	-	-	0
1012101	cash	-	-	0
1012102	cash	-	-	0
1012103	cash	-	-	0
1012106	cash	-	-	0
1012107	cash	-	-	0
1012108	cash	-	-	0
1012109	cash	-	-	0
1012110	cash	-	-	0
1012111	cash	-	-	0
1012139	cash	-	-	0
1012140	cash	-	-	0
1012141	cash	-	-	0
1012146	cash	-	-	0
1012181	cash	-	-	0
1012182	cash	-	-	0
1012183	cash	-	-	0
1012184	cash	-	-	0
1012185	cash	-	-	0
1012186	cash	-	-	0
1022058	cash	-	-	0
1022060	cash	-	-	0
1022073	cash	-	-	0
1022088	cash	-	-	0
1022089	cash	-	-	0
1022103	cash	-	-	0
1032030	incPAD	-	-	1
1032030	incMHP	30	30	-
1032060	cash	-	-	0
1032061	cash	-	-	0
1032070	incMAD	-	-	1
1032070	incACC	1	1	-
1032075	cash	-	-	0
1051140	incDEX	-	-	3
1051140	incACC	3	3	-
1052081	cash	-	-	0
1052148	reqJob	5	5	21
1052165	cash	-	-	0
1052166	cash	-	-	0
1052167	cash	-	-	0
1052173	cash	-	-	0
1052202	cash	-	-	0
1072342	reqJob	5	5	21
1072369	cash	-	-	0
1072375	cash	-	-	0
1072376	cash	-	-	0
1082252	cash	-	-	0
1102205	cash	-	-	0
1102206	cash	-	-	0
1102207	cash	-	-	0
1102211	cash	-	-	0
1102226	cash	-	-	0
1102227	cash	-	-	0
1112405	only	1	1	-
1112413	only	1	1	-
1112414	only	1	1	-
1112803	cash	-	-	1
1112806	cash	-	-	1
1112807	cash	-	-	1
1112809	cash	-	-	1
1142009	reqLevel	200	200	180
1142010	reqLevel	200	200	180
1142011	reqLevel	200	200	180
1142012	reqLevel	200	200	180
1142013	reqLevel	200	200	180
1142079	cash	-	-	0
1142080	cash	-	-	0
1142081	cash	-	-	0
1142082	cash	-	-	0
1142083	cash	-	-	0
1142084	cash	-	-	0
1142085	cash	-	-	0
1142086	cash	-	-	0
1142087	cash	-	-	0
1142088	cash	-	-	0
1142089	cash	-	-	0
1142090	cash	-	-	0
1142091	cash	-	-	0
1142092	cash	-	-	0
1142093	cash	-	-	0
1142094	cash	-	-	0
1142095	cash	-	-	0
1142096	cash	-	-	0
1142097	cash	-	-	0
1142098	cash	-	-	0
1142099	cash	-	-	0
1142100	cash	-	-	0
1142101	cash	-	-	0
1142133	reqLevel	200	200	180
1932000	cash	-	-	0
1932001	cash	-	-	0
1932002	cash	-	-	0
1932003	cash	-	-	0
1932004	cash	-	-	0
1932005	cash	-	-	0
1932010	cash	-	-	0
1932012	cash	-	-	0
