# id	stat	v83-stock	v84-stock	this server - NEXON changed it between v83 and v84 and this server still has v83's value. This is the real v84 content gap.
# 32 rows
1382025	reqLevel	35	45	35
1382025	reqINT	108	138	108
1382025	reqLUK	38	48	38
1382025	tuc	5	7	5
1382025	incINT	5	-	5
1382025	incMAD	70	61	70
1382025	only	1	-	1
1382025	notSale	1	-	1
1382058	reqLevel	0	105	0
1382058	reqINT	0	318	0
1382058	reqJob	0	2	0
1382058	cash	1	0	1
1452058	reqLevel	0	105	0
1452058	reqSTR	0	110	0
1452058	reqDEX	0	275	0
1452058	reqJob	0	4	0
1452058	cash	1	0	1
1452058	islot	Wp	WpSi	Wp
1452058	vslot	Wp	WpSi	Wp
1472069	reqLevel	40	105	40
1472069	reqDEX	80	145	80
1472069	reqLUK	120	305	120
1472069	price	50000	540000	50000
1472069	incPAD	22	48	22
1472069	incPDD	2	-	2
1492024	reqLevel	0	105	0
1492024	reqSTR	0	105	0
1492024	reqDEX	0	305	0
1492024	reqJob	0	16	0
1492024	cash	1	-	1
1902041	reqLevel	100	80	100
1902042	reqLevel	200	120	200
