# id	stat	v83-stock	v84-stock	this server - v83 and v84 agree; this server differs. OWNER'S custom balance, preserve.
# 216 rows
2022002	slotMax	1	1	-
2040728	slotMax	-	-	100
2040729	slotMax	-	-	100
2040730	slotMax	-	-	100
2040731	slotMax	-	-	100
2040732	slotMax	-	-	100
2040733	slotMax	-	-	100
2040734	slotMax	-	-	100
2040735	slotMax	-	-	100
2040736	slotMax	-	-	100
2040737	slotMax	-	-	100
2040738	slotMax	-	-	100
2040739	slotMax	-	-	100
2280000	slotMax	1	1	100
2280001	slotMax	1	1	100
2280002	slotMax	1	1	100
2280003	slotMax	1	1	100
2280004	slotMax	1	1	100
2280005	slotMax	1	1	100
2280006	slotMax	1	1	100
2280007	slotMax	1	1	100
2280008	slotMax	1	1	100
2280009	slotMax	1	1	100
2280010	slotMax	1	1	100
2280011	slotMax	1	1	100
2280012	slotMax	1	1	100
2280013	slotMax	1	1	100
2280014	slotMax	1	1	100
2280015	slotMax	1	1	100
2280016	slotMax	1	1	100
2280017	slotMax	1	1	100
2280018	slotMax	1	1	100
2280019	slotMax	1	1	100
2280020	slotMax	1	1	100
2280021	slotMax	1	1	100
2280022	slotMax	1	1	100
2280023	slotMax	1	1	100
2280024	slotMax	1	1	100
2280025	slotMax	1	1	100
2290000	slotMax	1	1	100
2290001	slotMax	1	1	100
2290002	slotMax	1	1	100
2290003	slotMax	1	1	100
2290004	slotMax	1	1	100
2290005	slotMax	1	1	100
2290006	slotMax	1	1	100
2290007	slotMax	1	1	100
2290008	slotMax	1	1	100
2290009	slotMax	1	1	100
2290010	slotMax	1	1	100
2290011	slotMax	1	1	100
2290012	slotMax	1	1	100
2290013	slotMax	1	1	100
2290014	slotMax	1	1	100
2290015	slotMax	1	1	100
2290016	slotMax	1	1	100
2290017	slotMax	1	1	100
2290018	slotMax	1	1	100
2290019	slotMax	1	1	100
2290020	slotMax	1	1	100
2290021	slotMax	1	1	100
2290022	slotMax	1	1	100
2290023	slotMax	1	1	100
2290024	slotMax	1	1	100
2290025	slotMax	1	1	100
2290026	slotMax	1	1	100
2290027	slotMax	1	1	100
2290028	slotMax	1	1	100
2290029	slotMax	1	1	100
2290030	slotMax	1	1	100
2290031	slotMax	1	1	100
2290032	slotMax	1	1	100
2290033	slotMax	1	1	100
2290034	slotMax	1	1	100
2290035	slotMax	1	1	100
2290036	slotMax	1	1	100
2290037	slotMax	1	1	100
2290038	slotMax	1	1	100
2290039	slotMax	1	1	100
2290040	slotMax	1	1	100
2290041	slotMax	1	1	100
2290042	slotMax	1	1	100
2290043	slotMax	1	1	100
2290044	slotMax	1	1	100
2290045	slotMax	1	1	100
2290046	slotMax	1	1	100
2290047	slotMax	1	1	100
2290048	slotMax	1	1	100
2290049	slotMax	1	1	100
2290050	slotMax	1	1	100
2290051	slotMax	1	1	100
2290052	slotMax	1	1	100
2290053	slotMax	1	1	100
2290054	slotMax	1	1	100
2290055	slotMax	1	1	100
2290056	slotMax	1	1	100
2290057	slotMax	1	1	100
2290058	slotMax	1	1	100
2290059	slotMax	1	1	100
2290060	slotMax	1	1	100
2290061	slotMax	1	1	100
2290062	slotMax	1	1	100
2290063	slotMax	1	1	100
2290064	slotMax	1	1	100
2290065	slotMax	1	1	100
2290066	slotMax	1	1	100
2290067	slotMax	1	1	100
2290068	slotMax	1	1	100
2290069	slotMax	1	1	100
2290070	slotMax	1	1	100
2290071	slotMax	1	1	100
2290072	slotMax	1	1	100
2290073	slotMax	1	1	100
2290074	slotMax	1	1	100
2290075	slotMax	1	1	100
2290076	slotMax	1	1	100
2290077	slotMax	1	1	100
2290078	slotMax	1	1	100
2290079	slotMax	1	1	100
2290080	slotMax	1	1	100
2290081	slotMax	1	1	100
2290082	slotMax	1	1	100
2290083	slotMax	1	1	100
2290084	slotMax	1	1	100
2290085	slotMax	1	1	100
2290086	slotMax	1	1	100
2290087	slotMax	1	1	100
2290088	slotMax	1	1	100
2290089	slotMax	1	1	100
2290090	slotMax	1	1	100
2290091	slotMax	1	1	100
2290092	slotMax	1	1	100
2290093	slotMax	1	1	100
2290094	slotMax	1	1	100
2290095	slotMax	1	1	100
2290096	slotMax	1	1	100
