# id	stat	v83-stock	v84-stock	this server - v83 and v84 agree; this server differs. OWNER'S custom balance, preserve.
# 277 rows
3300005	boss	-	-	1
3300006	boss	-	-	1
3300007	boss	-	-	1
4130103	hpTagColor	-	-	1
4130103	hpTagBgcolor	-	-	5
5090000	maxHP	4800	4800	30000
5090000	exp	180	180	5600
5090000	eva	999	999	42
5090000	hpTagColor	-	-	1
5090000	hpTagBgcolor	-	-	5
5090001	maxHP	5600	5600	15375000
5090001	maxMP	200	200	120000
5090001	level	59	59	128
5090001	exp	220	220	114200
5090001	eva	999	999	64
5090001	hpTagColor	-	-	1
5090001	hpTagBgcolor	-	-	5
5100002	selfDestruction			-
5120100	hpTagColor	-	-	1
5120100	hpTagBgcolor	-	-	5
6090000	level	65	65	74
6090000	exp	255	255	25000
6090000	hpTagColor	-	-	1
6090000	hpTagBgcolor	-	-	5
6090001	exp	250	250	10320
6090001	hpTagColor	-	-	1
6090001	hpTagBgcolor	-	-	5
6090002	maxHP	12500	12500	86890
6090002	maxMP	300	300	2000
6090002	exp	265	265	17000
6090002	eva	999	999	70
6090002	hpTagColor	-	-	1
6090002	hpTagBgcolor	-	-	5
6090003	exp	240	240	3984
6090003	hpTagColor	-	-	1
6090003	hpTagBgcolor	-	-	5
6090004	maxHP	7600	7600	7600000
6090004	eva	999	999	100
6090004	hpTagColor	-	-	1
6090004	hpTagBgcolor	-	-	5
6300004	selfDestruction			-
7090000	maxHP	16000	16000	150000
7090000	eva	999	999	110
7090000	hpTagColor	-	-	1
7090000	hpTagBgcolor	-	-	5
7120100	maxHP	15000	15000	90000
7120100	hpTagColor	-	-	1
7120100	hpTagBgcolor	-	-	5
7120101	maxHP	15000	15000	102000
7120101	hpTagColor	-	-	1
7120101	hpTagBgcolor	-	-	5
7120102	maxHP	15000	15000	114000
7120102	hpTagColor	-	-	1
7120102	hpTagBgcolor	-	-	5
8090000	maxHP	27000	27000	175000
8090000	eva	999	999	120
8090000	hpTagColor	-	-	1
8090000	hpTagBgcolor	-	-	5
8120100	maxHP	15000	15000	126000
8120100	hpTagColor	-	-	1
8120100	hpTagBgcolor	-	-	5
8120101	maxHP	15000	15000	138000
8120101	hpTagColor	-	-	1
8120101	hpTagBgcolor	-	-	5
8140510	maxHP	15000	15000	150000
8140510	hpTagColor	-	-	1
8140510	hpTagBgcolor	-	-	5
8150000	hpTagColor	-	-	1
8150000	hpTagBgcolor	-	-	5
8220007	hpTagColor	-	-	1
8220007	hpTagBgcolor	-	-	5
8220009	hpTagColor	-	-	1
8220009	hpTagBgcolor	-	-	5
8500003	selfDestruction			-
8500004	selfDestruction			-
8510100	selfDestruction			-
8520000	removeAfter	129600	129600	-
8810018	boss	-	-	1
8820002	hpTagColor	-	-	1
8820002	hpTagBgcolor	-	-	5
8820003	hpTagColor	-	-	1
8820003	hpTagBgcolor	-	-	5
8820004	hpTagColor	-	-	1
8820004	hpTagBgcolor	-	-	5
8820005	hpTagColor	-	-	1
8820005	hpTagBgcolor	-	-	5
8820006	hpTagColor	-	-	1
8820006	hpTagBgcolor	-	-	5
8820010	boss	-	-	1
8820011	boss	-	-	1
8820012	boss	-	-	1
8820013	boss	-	-	1
8820014	boss	-	-	1
8830000	hpTagColor	-	-	1
8830000	hpTagBgcolor	-	-	5
8830003	boss	-	-	1
8830010	boss	-	-	1
9001000	hpTagColor	-	-	1
9001000	hpTagBgcolor	-	-	5
9001001	hpTagColor	-	-	1
9001001	hpTagBgcolor	-	-	5
9001002	hpTagColor	-	-	1
9001002	hpTagBgcolor	-	-	5
9001003	hpTagColor	-	-	1
9001003	hpTagBgcolor	-	-	5
9001004	hpTagColor	-	-	1
9001004	hpTagBgcolor	-	-	5
9001008	boss	-	-	1
9001008	hpTagColor	-	-	1
9001008	hpTagBgcolor	-	-	5
9300003	boss	-	-	1
9300003	hpTagColor	-	-	1
9300003	hpTagBgcolor	-	-	5
9300012	hpTagColor	-	-	1
9300012	hpTagBgcolor	-	-	5
9300166	selfDestruction			-
9300266	selfDestruction			-
9300267	selfDestruction			-
9300329	selfDestruction			-
9303002	boss	-	-	1
9400014	hpTagColor	-	-	1
9400014	hpTagBgcolor	-	-	5
9400112	hpTagColor	-	-	1
9400112	hpTagBgcolor	-	-	5
9400113	hpTagColor	-	-	1
9400113	hpTagBgcolor	-	-	5
9400120	hpTagColor	-	-	1
9400120	hpTagBgcolor	-	-	5
9400121	hpTagColor	-	-	1
9400121	hpTagBgcolor	-	-	5
9400122	hpTagColor	-	-	1
9400122	hpTagBgcolor	-	-	5
9400205	hpTagColor	-	-	1
9400205	hpTagBgcolor	-	-	5
9400300	hpTagColor	-	-	1
9400300	hpTagBgcolor	-	-	5
9400547	selfDestruction			-
9400549	hpTagColor	-	-	1
9400549	hpTagBgcolor	-	-	5
9400550	selfDestruction			-
9400566	selfDestruction			-
9400589	maxHP	400000	400000	17000000
9400589	maxMP	200	200	2000
9400589	level	30	30	180
9400589	exp	500	500	60000
9400589	PADamage	150	150	650
9400589	PDDamage	500	500	1000
9400589	MADamage	20	20	780
9400589	MDDamage	450	450	1100
9400589	acc	1000	1000	300
9400589	eva	10	10	50
9400589	pushed	3000	3000	42000
9400589	hpTagColor	-	-	1
9400589	hpTagBgcolor	-	-	5
9400589	hpRecovery	2000	2000	20000
9400606	boss	-	-	1
9400606	hpTagColor	-	-	1
9400606	hpTagBgcolor	-	-	5
9400638	firstAttack	1	1	0
9400639	firstAttack	1	1	0
9400640	firstAttack	1	1	0
9400739	maxHP	2000	2000	200000
9400739	maxMP	100	100	1000
9400739	level	8	8	140
9400739	exp	50	50	5000
9400739	PADamage	100	100	200
9400739	PDDamage	100	100	1000
9400739	MADamage	10	10	400
9400739	MDDamage	70	70	500
9400739	acc	1000	1000	210
9400739	eva	15	15	45
9400739	pushed	500	500	5000
9400739	hpRecovery	10	10	1000
9400740	maxHP	2000	2000	200000
9400740	maxMP	100	100	1000
9400740	level	8	8	140
9400740	exp	50	50	5000
9400740	PADamage	100	100	400
9400740	PDDamage	100	100	500
9400740	MADamage	10	10	200
9400740	MDDamage	75	75	1000
9400740	acc	1000	1000	210
9400740	eva	20	20	50
9400740	pushed	300	300	3000
9400740	hpRecovery	20	20	2000
9400741	maxHP	1200	1200	120000
9400741	level	10	10	140
9400741	exp	50	50	5000
9400741	PADamage	60	60	420
9400741	PDDamage	85	85	650
9400741	MDDamage	95	95	500
9400741	acc	60	60	180
9400741	eva	9	9	30
9400741	pushed	50	50	5000
9400742	maxHP	1400	1400	140000
9400742	level	10	10	140
9400742	exp	60	60	6000
9400742	PADamage	65	65	440
9400742	PDDamage	90	90	770
9400742	MDDamage	98	98	700
9400742	acc	65	65	180
9400742	eva	9	9	30
9400742	pushed	50	50	5000
9400743	maxHP	1600	1600	160000
9400743	maxMP	30	30	300
9400743	level	10	10	140
9400743	PADamage	80	80	500
9400743	PDDamage	80	80	700
9400743	MADamage	75	75	160
9400743	MDDamage	55	55	800
9400743	acc	80	80	300
9400743	eva	10	10	35
9400744	maxHP	100000	100000	10000000
9400744	maxMP	500	500	5000
9400744	level	10	10	168
9400744	exp	2500	2500	250000
9400744	PADamage	100	100	750
9400744	PDDamage	400	400	600
9400744	MADamage	200	200	700
9400744	MDDamage	400	400	800
9400744	acc	90	90	190
9400744	pushed	2000	2000	20000
9400744	hpRecovery	100	100	10000
9400745	maxHP	50000	50000	5000000
9400745	maxMP	500	500	5000
9400745	level	10	10	160
9400745	exp	1000	1000	100000
9400745	PADamage	90	90	700
9400745	PDDamage	220	220	880
9400745	MADamage	150	150	550
9400745	acc	75	75	180
9400745	eva	15	15	55
9400745	pushed	1500	1500	15000
9400745	hpRecovery	50	50	5000
9400746	maxHP	20000	20000	2000000
9400746	maxMP	100	100	1000
9400746	level	10	10	170
9400746	exp	300	300	30000
9400746	PADamage	85	85	650
9400746	PDDamage	200	200	800
9400746	MDDamage	250	250	750
9400746	acc	140	140	200
9400746	eva	23	23	56
9400746	pushed	2500	2500	25000
9400747	maxHP	45000	45000	4500000
9400747	maxMP	190	190	1900
9400747	level	10	10	170
9400747	exp	250	250	25000
9400747	PADamage	80	80	700
9400747	PDDamage	100	100	750
9400747	MADamage	80	80	650
9400747	MDDamage	100	100	500
9400747	acc	70	70	210
9400747	eva	15	15	70
9400747	pushed	1000	1000	10000
9400748	maxHP	400000	400000	17000000
9400748	maxMP	100	100	2000
9400748	level	10	10	180
9400748	exp	1000	1000	60000
9400748	PADamage	150	150	650
9400748	PDDamage	500	500	1000
9400748	MADamage	20	20	780
9400748	MDDamage	450	450	1100
9400748	acc	1000	1000	270
9400748	eva	10	10	50
9400748	pushed	3000	3000	42000
9400748	hpTagColor	-	-	1
9400748	hpTagBgcolor	-	-	5
9400748	hpRecovery	2000	2000	20000
9400749	acc	75	75	300
9500340	boss	-	-	1
9500340	hpTagColor	-	-	1
9500340	hpTagBgcolor	-	-	5
9500343	hpTagColor	-	-	1
9500343	hpTagBgcolor	-	-	5
9500358	hpTagColor	-	-	1
9500358	hpTagBgcolor	-	-	5
