# id	stat	v83-stock	v84-stock	this server - NEXON changed it between v83 and v84 and this server still has v83's value. This is the real v84 content gap.
# 831 rows
100100	mobType	0	-	0
100101	mobType	0	-	0
120100	mobType	4	-	4
130100	mobType	4	-	4
130101	mobType	0	-	0
210100	mobType	5	-	5
1110100	mobType	4	-	4
1110101	mobType	4	-	4
1110130	mobType	4	-	4
1120100	mobType	0	-	0
1130100	mobType	4	-	4
1140100	mobType	4	-	4
1140130	mobType	4	-	4
1210100	mobType	0	-	0
1210101	mobType	0	-	0
1210102	mobType	4	-	4
1210103	mobType	5	-	5
2100100	mobType	0	-	0
2100101	mobType	0	-	0
2100102	mobType	4	-	4
2100103	mobType	4	-	4
2100104	mobType	4	-	4
2100105	mobType	1	-	1
2100106	mobType	1	-	1
2100107	mobType	1	-	1
2100108	mobType	0	-	0
2110200	mobType	4	-	4
2110301	mobType	0	-	0
2130100	mobType	4	-	4
2130103	mobType	1	-	1
2220000	mobType	0	-	0
2220100	mobType	4	-	4
2230100	mobType	1	-	1
2230101	elemAttr	H3	H3D2	H3
2230101	mobType	7	-	7
2230102	mobType	0	-	0
2230103	elemAttr	H2F3	H2F3D3	H2F3
2230103	mobType	8	-	8
2230104	mobType	8	-	8
2230105	mobType	3	-	3
2230106	mobType	3	-	3
2230110	mobType	6	-	6
2230111	mobType	6	-	6
2230131	elemAttr	H3	H3D2	H3
2230131	mobType	7	-	7
2230200	mobType	3	-	3
2300100	summonType	1	-	1
3000000	elemAttr	H2L2I3	H2L2I3D3	H2L2I3
3000000	mobType	8	-	8
3000001	mobType	5	-	5
3000002	mobType	5	-	5
3000003	mobType	5	-	5
3000004	mobType	5	-	5
3000005	mobType	8	-	8
3000006	mobType	3	-	3
3100101	mobType	5	-	5
3100102	mobType	2	-	2
3110100	mobType	1	-	1
3110101	mobType	8	-	8
3110102	mobType	8	-	8
3110300	mobType	8	-	8
3110301	mobType	5	-	5
3110302	mobType	8	-	8
3110303	mobType	8	-	8
3210100	mobType	0	-	0
3210200	mobType	0	-	0
3210201	mobType	0	-	0
3210202	mobType	0	-	0
3210203	mobType	8	-	8
3210204	mobType	8	-	8
3210205	mobType	8	-	8
3210207	mobType	5	-	5
3210208	mobType	8	-	8
3210450	mobType	0	-	0
3210800	mobType	0	-	0
3220000	mobType	4	-	4
3220001	mobType	4	-	4
3230100	mobType	1	-	1
3230101	elemAttr	H3F3	H3F3D2	H3F3
3230101	mobType	7	-	7
3230102	mobType	3	-	3
3230103	mobType	8	-	8
3230200	elemAttr	H2	H2D3	H2
3230200	mobType	5	-	5
3230300	mobType	5	-	5
3230301	mobType	5	-	5
3230302	mobType	8	-	8
3230305	mobType	8	-	8
3230306	mobType	5	-	5
3230400	mobType	8	-	8
3230405	mobType	0	-	0
3300000	mobType	0	-	0
3300001	mobType	0	-	0
3300002	mobType	0	-	0
3300003	mobType	0	-	0
3300004	mobType	0	-	0
3300008	mobType	8	-	8
4110300	mobType	8	-	8
4110301	mobType	8	-	8
4110302	mobType	8	-	8
4130100	mobType	1	-	1
4130101	mobType	1	-	1
4130102	elemAttr	H3	H3D2	H3
4130102	mobType	4	-	4
4130103	mobType	8	-	8
4130104	elemAttr	H3	H3D2	H3
4130104	mobType	4	-	4
4220001	mobType	3	-	3
4230100	mobType	1	-	1
4230101	elemAttr	H3	H3D2	H3
4230101	mobType	7	-	7
4230102	elemAttr	H3	H3D2	H3
4230102	mobType	7	-	7
4230103	mobType	0	-	0
4230104	mobType	3	-	3
4230105	mobType	4	-	4
4230106	mobType	5	-	5
4230108	mobType	0	-	0
4230109	mobType	8	-	8
4230110	mobType	8	-	8
4230111	mobType	8	-	8
4230112	mobType	8	-	8
4230113	mobType	5	-	5
4230114	mobType	5	-	5
4230115	mobType	5	-	5
4230116	mobType	5	-	5
4230118	mobType	5	-	5
4230119	mobType	5	-	5
4230120	mobType	8	-	8
4230121	mobType	5	-	5
4230122	mobType	4	-	4
4230123	mobType	0	-	0
4230124	mobType	0	-	0
4230125	elemAttr	H3	H3D2	H3
4230125	mobType	7	-	7
4230126	elemAttr	H3	H3D2	H3
4230126	mobType	7	-	7
4230300	mobType	0	-	0
4230400	mobType	0	-	0
4230500	mobType	0	-	0
4230501	mobType	0	-	0
4230502	mobType	5	-	5
4230503	mobType	1	-	1
4230504	mobType	1	-	1
4230505	mobType	8	-	8
4230506	mobType	8	-	8
4230600	mobType	5	-	5
4240000	elemAttr	I2L2F2H2	I2L2F2H2D2	I2L2F2H2
4240000	mobType	5	-	5
4250000	summonType	1	-	1
5100000	mobType	0	-	0
5100001	mobType	0	-	0
5100002	mobType	5	-	5
5100003	mobType	0	-	0
5100004	elemAttr	F3H3	F3H3D2	F3H3
5100004	mobType	0	-	0
5100005	mobType	0	-	0
5110300	mobType	8	-	8
5110301	mobType	8	-	8
5110302	mobType	8	-	8
5120000	elemAttr	I2F2L2H2	I2F2L2H2D2	I2F2L2H2
5120000	mobType	5	-	5
5120001	mobType	0	-	0
5120002	mobType	0	-	0
5120003	mobType	0	-	0
5120100	mobType	8	-	8
5120500	mobType	0	-	0
5120501	mobType	4	-	4
5120502	mobType	4	-	4
5120503	mobType	8	-	8
5120504	mobType	8	-	8
5120505	mobType	0	-	0
5120506	mobType	5	-	5
5130100	mobType	1	-	1
5130101	mobType	8	-	8
5130102	elemAttr	H3	H3D2	H3
5130102	mobType	8	-	8
5130103	mobType	1	-	1
5130104	mobType	0	-	0
5130105	elemAttr	H3	H3D2	H3
5130105	mobType	0	-	0
5130106	elemAttr	H3	H3D2	H3
5130106	mobType	0	-	0
5130107	elemAttr	S1H3	S1H3D2	S1H3
5130107	mobType	7	-	7
5130108	elemAttr	S1H3	S1H3D2	S1H3
5130108	mobType	7	-	7
5140000	mobType	0	-	0
5150000	mobType	8	-	8
5150001	elemAttr	H3	H3D2	H3
5150001	mobType	7	-	7
5200000	mobType	8	-	8
5200001	mobType	8	-	8
5200002	mobType	8	-	8
5220003	mobType	8	-	8
5300000	mobType	5	-	5
5300001	elemAttr	H3	H3D2	H3
5300001	mobType	5	-	5
5300100	elemAttr	H3	H3D2	H3
5400000	mobType	0	-	0
6090000	mobType	7	-	7
