# Generated by tools/v84/derive-binary-models.py - DO NOT EDIT BY HAND.
# Derived from the v84 CLIENT BINARY only: the dispatcher chain walked with the opcode
# pinned, then the handler CFG replayed. No server code was read, so a disagreement with
# PacketCreator is a candidate v84 delta, not a model to be corrected.
# Only opcodes with exactly ONE fixed-size shape are listed. Everything else branches on
# packet data and has no single model - see the reject list printed by that script.
# Rows are `candidate` until a human has read the emitting PacketCreator method; the Java
# harness loads only `verified`.
# status	model	opcode	provenance	fields
verified	AUTO_HP_POT	345	v84 image handler 0x0059DE20	f0:4
verified	AUTO_MP_POT	346	v84 image handler 0x0059DE46	f0:4
candidate	CLAIM_AVAILABLE_TIME	46	v84 image handler 0x00A732F3	f0:1,f1:1
verified	CLAIM_STATUS_CHANGED	47	v84 image handler 0x00A7331C	f0:1
candidate	DAMAGE_SUMMON	184	v84 image handler 0x0049BA9A 0x0097B9D1	f0:4
candidate	DESTROY_HIRED_MERCHANT	273	v84 image handler 0x00519EA1	f0:4
candidate	EVOLVE_PET	172	v84 image handler 0x0049BA9A	f0:4
candidate	GUILD_NAME_CHANGED	206	v84 image handler 0x0049BA9A 0x009C3E08	f0:4
candidate	LAST_CONNECTED_WORLD	26	v84 image handler 0x0060D26E	f0:4
candidate	MOVE_SUMMON	181	v84 image handler 0x0049BA9A 0x0097B9D1	f0:4
candidate	NOTIFY_MARRIED_PARTNER_MAP_TRANSFER	77	v84 image handler 0x00A5260B	f0:4,f1:4
candidate	REMOVE_DRAGON	187	v84 image handler 0x0049BA9A	f0:4
verified	REMOVE_NPC	265	v84 image handler 0x006F0BC8	f0:4
candidate	REMOVE_SPECIAL_MAPOBJECT	180	v84 image handler 0x0049BA9A 0x0097B9D1	f0:4
verified	SET_EXTRA_PENDANT_SLOT	124	v84 image handler 0x00A5E1CA	f0:1
verified	SET_GENDER	58	v84 image handler 0x00A6F416	f0:1
candidate	SET_POTION_DISCOUNT_RATE	80	v84 image handler 0x00A69D76	f0:1
candidate	SKILL_USE_RESULT	37	v84 image handler 0x00A6BDB7	f0:1
candidate	SPAWN_PET	171	v84 image handler 0x0049BA9A	f0:4
candidate	SPAWN_SPECIAL_MAPOBJECT	179	v84 image handler 0x0049BA9A	f0:4
candidate	SUMMON_ATTACK	182	v84 image handler 0x0049BA9A 0x0097B9D1	f0:4
candidate	SUMMON_SKILL	183	v84 image handler 0x0049BA9A 0x0097B9D1	f0:4
