# Generated by tools/v84/derive-decode-models.py - DO NOT EDIT BY HAND.
# Structure from the hand-annotated gms_v83 IDA export; genuine v84 deltas applied from
# V84_DELTAS in that script. kinds: 1/2/4/8 = Decode1/2/4/8, s = DecodeStr, bN = N bytes.
# Only `verified` rows are loaded by the Java harness - see PROMOTED in the script.
# status	model	opcode	ida_symbol	fields
candidate	ARIANT_RESULT	155	CField::OnWarnMessage	f0:s
candidate	AUTO_HP_POT	345	CFuncKeyMappedMan::OnPetConsumeItemInit	m_nPetConsumeItemID (HP auto-pot item ID; 0 = use config def:4
candidate	AUTO_MP_POT	346	CFuncKeyMappedMan::OnPetConsumeMPItemInit	m_nPetConsumeMPItemID (MP auto-pot item ID; 0 = use config d:4
candidate	BLOCKED_MAP	134	CField::OnTransferFieldReqIgnored	f0:1
candidate	BLOCKED_SERVER	135	CField::OnTransferChannelReqIgnored	f0:1
candidate	BRIDLE_MOB_CATCH_FAIL	81	CWvsContext::OnBridleMobCatchFail	f0:1,f1:4,f2:4
candidate	CANCEL_SKILL_EFFECT	195	CUserRemote::OnSkillCancel	nSkillID (skill to cancel):4
candidate	CATCH_MONSTER	257	CMob::OnCatchEffect	f0:1
candidate	CATCH_MONSTER_WITH_ITEM	258	CMob::OnEffectByItem	f0:4,f1:1
candidate	CHANGE_CHANNEL	16	CClientSocket::OnMigrateCommand	success flag (if 0 → client disconnects):1,IP address as raw uint32 (stored directly into sin_addr.s_ad:4,port (host byte order; htons applied when building sockaddr):2
verified	CHAR_NAME_RESPONSE	13	CLogin::OnCheckDuplicatedIDResult	character name string (ZXString):s,v5 result code  0=OK  1=alreadyRegistered  2=notAllowed  els:1
candidate	CHECK_PINCODE	6	CLogin::OnCheckPinCodeResult	resultCode (mode dispatch):1
candidate	CLAIM_AVAILABLE_TIME	46	CWvsContext::OnSetClaimSvrAvailableTime	openHour @0xa27b49:1,closeHour @0xa27b4b:1
candidate	CLAIM_STATUS_CHANGED	47	CWvsContext::OnClaimSvrStatusChanged	connected flag @0xa27b73  compared != 0:1
candidate	COCONUT_HIT	292	CField_Coconut::OnCoconutHit	f0:2,f1:2,f2:1
candidate	COCONUT_SCORE	293	CField_Coconut::OnCoconutScore	f0:2,f1:2
candidate	CONTI_STATE	152	CField_ContiMove::OnContiState	nState (transport/ship state 0-6  v3):1,overrideAppear flag (v4; checked v4==1 in AppearShip case):1
verified	COOLDOWN	240	CUserLocal::OnSkillCooltimeSet	nSkillID (v2 = Decode4):4,usRemainSec cooldown in seconds (Decode2):2
verified	DELETE_CHAR_RESPONSE	15	CLogin::OnDeleteCharacterResult	dwCharacterID (characterId of the deleted character):4,result code (0=success; error codes  6=system error  9=unkno:1
verified	DESTROY_HIRED_MERCHANT	273	CEmployeePool::OnEmployeeLeaveField	employeeId:4
candidate	DISABLE_UI	227	CUserLocal::OnSetStandAloneMode	bStandAlone (enable flag; stored to CWvsContext+0x70):1
verified	DROP_ITEM_FROM_MAPOBJECT/spawn-item	275	CDropPool::OnDropEnterField	nEnterType:1,dwDropID:4,nIsMoney:1,itemId or meso:4,ownerCharId:4,dropType:1,drop x:2,drop y:2,sourceObjectId:4,sourceX — gated nEnterType != 2:2,sourceY — gated nEnterType != 2:2,tDelay — gated nEnterType != 2:2,cashItemSN (8 bytes) — gated !isMoney:b8,questId / pre-pet flag:1,v84 drop spawn effect:1
verified	DROP_ITEM_FROM_MAPOBJECT/spawn-meso	275	CDropPool::OnDropEnterField	nEnterType:1,dwDropID:4,nIsMoney:1,itemId or meso:4,ownerCharId:4,dropType:1,drop x:2,drop y:2,sourceObjectId:4,sourceX — gated nEnterType != 2:2,sourceY — gated nEnterType != 2:2,tDelay — gated nEnterType != 2:2,questId / pre-pet flag:1,v84 drop spawn effect:1
verified	DROP_ITEM_FROM_MAPOBJECT/update-item	275	CDropPool::OnDropEnterField	nEnterType:1,dwDropID:4,nIsMoney:1,itemId or meso:4,ownerCharId:4,dropType:1,drop x:2,drop y:2,sourceObjectId:4,cashItemSN (8 bytes) — gated !isMoney:b8,questId / pre-pet flag:1,v84 drop spawn effect:1
verified	FACIAL_EXPRESSION	197	CUser::OnEmotion	characterId — read by CUserPool  OnUserRemotePacket dispatch:4,nEmotion (expression/emote ID) — only field; no duration  no:4
candidate	FIELD_OBSTACLE_ONOFF	142	CField::OnFieldObstacleOnOff	f0:s,f1:4
candidate	GATHER_ITEM_RESULT	52	CWvsContext::OnGatherItemResult	f0:1,f1:1
candidate	GENDER_DONE	4	CLogin::OnSetAccountResult	gender:1,success:1
candidate	GMEVENT_INSTRUCTIONS	149	CField::OnDesc	f0:1
candidate	GUILD_BOSS_HEALER_MOVE	294	CField_GuildBoss::OnHealerMove	f0:2
candidate	GUILD_BOSS_PULLEY_STATE_CHANGE	295	CField_GuildBoss::OnPulleyStateChange	f0:1
candidate	GUILD_MARK_CHANGED	207	CUserRemote::OnGuildMarkChanged	characterId (dispatcher-prefix pattern — consumed by CUserPo:4,nMarkBg (logoBackground):2,nMarkBgColor (logoBackgroundColor):1,nMark (logo):2,nMarkColor (logoColor):1
candidate	GUILD_NAME_CHANGED	206	CUserRemote::OnGuildNameChanged	characterId (dispatcher-prefix pattern — consumed by CUserPo:4,newGuildName:s
candidate	GUILD_OPERATION	67	CWvsContext::OnGuildResult	mode byte:1
candidate	HIT_SNOWBALL	289	CField_SnowBall::OnSnowBallHit	f0:1,f1:2,f2:2
candidate	HORNTAIL_CAVE	309	CField::OnHontailTimer	f0:1,f1:4
verified	INCUBATOR_RESULT	71	CWvsContext::OnIncubatorResult	itemId (v2):4,count (a2a):2
candidate	INC_MOB_CHARGE_COUNT	260	CMob::OnIncMobChargeCount	f0:4,f1:4
verified	KILL_MONSTER/normal	243	CMobPool::OnMobLeaveField	dwMobID (uniqueId):4,destroyType:1
verified	LAST_CONNECTED_WORLD	26	CLogin::OnLatestConnectedWorld	latestConnectedWorldID:4
candidate	LOGIN_STATUS	0	CLogin::OnCheckPasswordResult	resultCode:1,post-auth flag:1,reserved (always decoded before branch):4,accountId:4,gender:1,GM/admin flag:1,admin byte (v83 byte  v95 widened to int16):1,countryCode:1,nexonClubID (atlas writes character name into this slot):s,purchaseExp/quiet-ban reason:1,quiet-ban code:1,chatUnblockDate FILETIME (8-byte buffer):8,registerDate FILETIME (8-byte buffer):8,numOfCharacter:4,pinFlag:1,picFlag:1,v84 m_aClientKey:8
candidate	MEMO_RESULT	41	CWvsContext::OnMemoResult	mode byte:1
candidate	MOB_AFFECTED	251	CMob::OnAffected	f0:4,f1:2
candidate	MOB_CRC_KEY_CHANGED	255	CMobPool::OnMobCrcKeyChanged	f0:4
candidate	MOB_SPEAKING	259	CMob::OnMobSpeaking	f0:4,f1:4
verified	MONSTER_BOOK_SET_COVER	86	CWvsContext::OnMonsterBookSetCover	f0:4
candidate	MONSTER_CARNIVAL_DIED	301	CField_MonsterCarnival::OnProcessForDeath	f0:1,f1:s,f2:1
candidate	MONSTER_CARNIVAL_LEAVE	302	CField_MonsterCarnival::OnShowMemberOutMsg	f0:1,f1:1,f2:s
candidate	MONSTER_CARNIVAL_OBTAINED_CP	297	CField_MonsterCarnival::OnPersonalCP	f0:2,f1:2
candidate	MONSTER_CARNIVAL_PARTY_CP	298	CField_MonsterCarnival::OnTeamCP	f0:1,f1:2,f2:2
candidate	MONSTER_CARNIVAL_RESULT	303	CField_MonsterCarnival::OnShowGameResult	f0:1
candidate	MONSTER_CARNIVAL_START	296	CField_MonsterCarnival::OnEnter	f0:1,f1:2,f2:2,f3:2,f4:2,f5:2,f6:2,f7:1
verified	MOVE_MONSTER_RESPONSE	246	CMob::OnCtrlAck	dwMobId — read by CMobPool  OnMobPacket before dispatch:4,mobCtrlSN:2,bNextAttackPossible:1,mp:2,skillCommand:1,skillLevel:1
candidate	MTS_OPERATION2	347	CITC::OnQueryCashResult	f0:4,f1:4
candidate	MULTICHAT	137	CField::OnGroupMessage	f0:1,f1:s,f2:s
candidate	NPC_ACTION	267	CNpc::OnMove	npcId (consumed by CNpcPool  OnNpcPacket@0x6d98de dispatcher:4,action / v3 (atlas unk):1,chatIdx / v4 (atlas unk2):1
candidate	OPEN_UI	224	CUserLocal::OnOpenUI	nUIID (window mode byte; dispatched to CWvsContext  UI_Open):1
candidate	OX_QUIZ	148	CField::OnQuiz	f0:1,f1:1,f2:2
